severity,parameter,warning
warning,alpha,bulk ESS 35.3 < 400
warning,alpha,tail ESS 40.0 < 400
warning,kappa_0,R-hat 1.184 > 1.01
warning,kappa_0,bulk ESS 10.1 < 400
warning,kappa_0,tail ESS 40.0 < 400
warning,delta,bulk ESS 27.0 < 400
warning,delta,tail ESS 23.3 < 400
warning,kappa_t_mean,R-hat 1.080 > 1.01
warning,kappa_t_mean,bulk ESS 31.4 < 400
warning,kappa_t_mean,tail ESS 40.0 < 400
warning,kappa_t_start,bulk ESS 40.0 < 400
warning,kappa_t_start,tail ESS 40.0 < 400
warning,kappa_t_mid,R-hat 1.037 > 1.01
warning,kappa_t_mid,bulk ESS 30.3 < 400
warning,kappa_t_mid,tail ESS 40.0 < 400
warning,kappa_t_end,R-hat 1.051 > 1.01
warning,kappa_t_end,bulk ESS 40.0 < 400
warning,kappa_t_end,tail ESS 23.3 < 400
warning,phi_1,bulk ESS 40.0 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,rho_1,R-hat 1.098 > 1.01
warning,rho_1,bulk ESS 16.9 < 400
warning,rho_1,tail ESS 40.0 < 400
warning,rho_2,bulk ESS 18.9 < 400
warning,rho_2,tail ESS 40.0 < 400
warning,n,bulk ESS 40.0 < 400
warning,n,tail ESS 40.0 < 400
warning,lambda_ez,R-hat 1.020 > 1.01
warning,lambda_ez,bulk ESS 24.6 < 400
warning,lambda_ez,tail ESS 40.0 < 400
warning,rho,R-hat 1.013 > 1.01
warning,rho,bulk ESS 25.0 < 400
warning,rho,tail ESS 40.0 < 400
warning,sigma_eta,bulk ESS 31.4 < 400
warning,sigma_eta,tail ESS 40.0 < 400
warning,sigma_e,bulk ESS 32.1 < 400
warning,sigma_e,tail ESS 40.0 < 400
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 40.0 < 400
warning,sigma_u,R-hat 1.034 > 1.01
warning,sigma_u,bulk ESS 40.0 < 400
warning,sigma_u,tail ESS 24.2 < 400
warning,sigma_eps,R-hat 1.054 > 1.01
warning,sigma_eps,bulk ESS 29.4 < 400
warning,sigma_eps,tail ESS 40.0 < 400
warning,sigma_N,R-hat 1.026 > 1.01
warning,sigma_N,bulk ESS 20.8 < 400
warning,sigma_N,tail ESS 23.3 < 400
