parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6462361732760142,0.06322856564551307,0.524384980675719,0.7717000613633602,0.0012217971904712325,2678.1100265092687,2767.973390892448,1.001912861028735,
kappa_0,0.016430399853822452,0.11134461259801864,-0.24448041515121624,0.22858163219909575,0.0030460946223805374,1336.1389897789854,1400.6906404894487,1.0003037604296936,
delta,-0.07981105189861444,0.04838598142487158,-0.19550080993202704,-0.004595285510077096,0.0009561901068192516,2560.652331390812,2934.649531228803,0.9999333120660252,
kappa_t_mean,0.020273785397978458,0.049578966275535964,-0.07583769602716996,0.11628806405700022,0.0009263026919948388,2864.765530747473,2968.3706370671416,0.9996886094821391,
kappa_t_start,0.035699660905916177,0.07257015961492011,-0.10265927170013074,0.19357777549189958,0.001410472825600414,2647.199729790065,2895.833257950412,0.999732214359132,
kappa_t_mid,-0.0743585239883386,0.09860745893249542,-0.28560915318357805,0.09092434047547454,0.0018527847312438694,2832.497978985266,2930.429744151289,0.9997370407605474,
kappa_t_end,0.1850836615678295,0.08832909287383607,0.016351428525712215,0.37132060110812953,0.0016191671913885497,2975.939857535006,3132.9109091286223,1.0000614287453584,
phi_1,0.9200629579670854,0.03342765736633424,0.8557022292275559,0.9851608934851172,0.0005965378111355672,3140.0454289937284,3200.0,0.9997550141852174,
rho_1,0.8111322365876447,0.18496785483252282,0.45131472879909257,1.1780098444553535,0.004133471313555836,2002.4545323512057,2532.901326469452,0.9998129175438162,
rho_2,0.11482828948484712,0.17190811897778793,-0.23295381130996165,0.44873240858888735,0.0034510094761236792,2481.421112185389,2729.318099918032,1.000133941097271,
n,-0.018924760022134397,0.02575640630720851,-0.06887522999377635,0.03115129183823663,0.000486951550789378,2797.6863789257577,3089.068316288743,1.0000416620379817,
lambda_ez,-0.012515366144571107,0.11400754225647197,-0.23563347859504016,0.2075985635272328,0.00201538765589908,3200.0,3200.0,1.0002708753739522,
rho,-0.011114412901585786,0.10130416294580187,-0.2107137691677022,0.18119860833225418,0.001790821514535087,3200.0,3200.0,1.0002848160040843,
sigma_eta,0.642298349292688,0.041991429683180405,0.5665411704383463,0.7310226912659106,0.0007968697046138862,2776.81336128824,3200.0,1.0006142490706509,
sigma_e,0.6457044284871981,0.04233472608139349,0.5689292802294804,0.7353030914567359,0.0008063330025790432,2756.5421473764404,3200.0,1.0005395008198799,
sigma_zeta,0.5774218650699318,0.03772503938989795,0.5098500590851878,0.6577397542123421,0.0006668907793281613,3200.0,3155.9777447718957,0.9997145909422227,
sigma_u,0.24091026588069586,0.022154345575801603,0.20185997806798642,0.2869885927273385,0.0004194612644197633,2789.5498597761502,3040.942315574184,0.9997706632397269,
sigma_eps,0.24865444159237826,0.023544613541524463,0.20693211742844245,0.29512860076524283,0.0004759472311635767,2447.177795810073,2859.0876848739053,0.999707032338582,
sigma_N,0.21271527805874668,0.019708381315490686,0.17799577189322163,0.2541745817070027,0.00039495688106888795,2490.018326043155,2749.5502489646215,1.0004168829546272,
