severity,parameter,warning
warning,alpha,R-hat 1.083 > 1.01
warning,alpha,bulk ESS 40.0 < 400
warning,alpha,tail ESS 40.0 < 400
warning,kappa_0,R-hat 1.041 > 1.01
warning,kappa_0,bulk ESS 18.4 < 400
warning,kappa_0,tail ESS 23.3 < 400
warning,delta,R-hat 1.161 > 1.01
warning,delta,bulk ESS 40.0 < 400
warning,delta,tail ESS 40.0 < 400
warning,kappa_t_mean,R-hat 1.048 > 1.01
warning,kappa_t_mean,bulk ESS 17.8 < 400
warning,kappa_t_mean,tail ESS 23.3 < 400
warning,kappa_t_start,R-hat 1.015 > 1.01
warning,kappa_t_start,bulk ESS 20.8 < 400
warning,kappa_t_start,tail ESS 40.0 < 400
warning,kappa_t_mid,R-hat 1.192 > 1.01
warning,kappa_t_mid,bulk ESS 19.4 < 400
warning,kappa_t_mid,tail ESS 40.0 < 400
warning,kappa_t_end,R-hat 1.014 > 1.01
warning,kappa_t_end,bulk ESS 40.0 < 400
warning,kappa_t_end,tail ESS 23.3 < 400
warning,phi_1,R-hat 1.059 > 1.01
warning,phi_1,bulk ESS 40.0 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,rho_1,R-hat 1.471 > 1.01
warning,rho_1,bulk ESS 6.3 < 400
warning,rho_1,tail ESS 20.4 < 400
warning,rho_2,R-hat 5.301 > 1.01
warning,rho_2,bulk ESS 20.8 < 400
warning,rho_2,tail ESS 40.0 < 400
warning,n,R-hat 1.207 > 1.01
warning,n,bulk ESS 28.1 < 400
warning,n,tail ESS 40.0 < 400
warning,lambda_ez,R-hat 1.046 > 1.01
warning,lambda_ez,bulk ESS 40.0 < 400
warning,lambda_ez,tail ESS 40.0 < 400
warning,rho,R-hat 1.019 > 1.01
warning,rho,bulk ESS 40.0 < 400
warning,rho,tail ESS 40.0 < 400
warning,sigma_eta,R-hat 1.096 > 1.01
warning,sigma_eta,bulk ESS 40.0 < 400
warning,sigma_eta,tail ESS 24.2 < 400
warning,sigma_e,R-hat 1.110 > 1.01
warning,sigma_e,bulk ESS 40.0 < 400
warning,sigma_e,tail ESS 24.2 < 400
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 40.0 < 400
warning,sigma_u,R-hat 1.036 > 1.01
warning,sigma_u,bulk ESS 8.7 < 400
warning,sigma_u,tail ESS 40.0 < 400
warning,sigma_eps,R-hat 1.735 > 1.01
warning,sigma_eps,bulk ESS 10.9 < 400
warning,sigma_eps,tail ESS 24.2 < 400
warning,sigma_N,bulk ESS 8.5 < 400
warning,sigma_N,tail ESS 24.2 < 400
