parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.68851523806433,0.0545295866097079,0.5927838132716995,0.7727918307406393,0.008621884677704804,40.0,40.0,1.0827609153560922,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_0,0.1309020396317862,0.037620804245147736,0.06074133286094644,0.19054380676991198,0.008762345386983306,18.433823094653846,23.291713961407492,1.0413396234242247,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
delta,-0.008937870452266416,0.01908297152769206,-0.040980484067870596,0.02007358723288461,0.0030172827275824926,40.0,40.0,1.160992635117135,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_mean,0.13003968447698547,0.037665716427096776,0.05809710449038007,0.19023516295708215,0.008919118411042039,17.83399355856207,23.291713961407492,1.047697682612487,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_start,0.13362881805135926,0.03754397720739542,0.06738489486649302,0.20033861598003733,0.008228680683959672,20.817095549656937,40.0,1.0153312043785518,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_mid,0.11337958564446744,0.05661935125750691,0.015906913152496892,0.19661747201224034,0.012848037967110926,19.42030987011918,40.0,1.1922818899421912,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_end,0.15399370315217764,0.05985458514596216,0.037142831780523626,0.2519220055456956,0.009463840873286113,40.0,23.291713961407492,1.0141884885080943,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
phi_1,0.8919878834797895,0.028511541329397167,0.8517436335343883,0.9528000159523484,0.004508070510146006,40.0,40.0,1.058996474069806,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_1,0.43598787110722215,0.18885684821471022,0.23743971738668412,0.8886563991231563,0.07506219828040742,6.330279955368838,20.431463657484233,1.4711192019238066,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.5309333891594034,0.29142117600464285,-0.866145744124275,-0.1335409510723392,0.06384256180752125,20.836347970959746,40.0,5.3008344590120124,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
n,-0.020606528711725695,0.018112331184178012,-0.05436820779833225,0.01221500401158288,0.0034179917134592596,28.080619862325403,40.0,1.2065730960702024,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
lambda_ez,0.17824540477442608,0.10691275940990627,0.021322393516534362,0.4351976602693006,0.016904391533445164,40.0,40.0,1.0463710747750838,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho,0.16109567333092462,0.08615499505098866,0.01995191832562211,0.3378157371635595,0.013622300808082934,40.0,40.0,1.0189922565836806,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_eta,0.6263359192937352,0.0394927585893021,0.553158496621099,0.7154379261936376,0.006244353411268645,40.0,24.207628784899725,1.096155640564096,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_e,0.6375622842185859,0.04611575706296239,0.5648929314279788,0.7308033438440482,0.007291541417097906,40.0,24.207628784899725,1.1103381165000914,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_zeta,0.5903777188260795,0.04056276417230949,0.5162142870601794,0.6526669888407869,0.00641353614883863,40.0,40.0,0.9768996767059447,bulk ESS < 400; tail ESS < 400
sigma_u,0.09308027623672233,0.017878732067603854,0.07251290395172731,0.12871310656184676,0.006058042959501966,8.709811071813695,40.0,1.0364567487254375,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_eps,0.18241526238975134,0.03733540434062671,0.1229269499266133,0.25950570995232275,0.011285381363654945,10.944835507890057,24.207628784899725,1.7348063859802105,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_N,0.07813078032133443,0.024278694463247232,0.039698786060109674,0.1146495724442911,0.00833778225554518,8.479096171567194,24.207628784899725,1.0059574248304142,bulk ESS < 400; tail ESS < 400
