parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6657408827251963,0.054893483514882484,0.5819153583405013,0.7786764015697156,0.011354565895861951,23.372249481338123,40.0,0.9851484976165874,bulk ESS < 400; tail ESS < 400
kappa_0,0.15153058023722193,0.04471521244883643,0.08278791927552223,0.23487927307787299,0.007070095869831922,40.0,40.0,0.9773303067853875,bulk ESS < 400; tail ESS < 400
delta,-0.011164091036717406,0.018426221878925564,-0.038248355824779125,0.021319811871940902,0.0037633106049732635,23.973556355213937,40.0,0.9770559611092884,bulk ESS < 400; tail ESS < 400
kappa_t_mean,0.15149563395106846,0.04440473521307339,0.08805845135061414,0.23281700153325885,0.007021005108499708,40.0,40.0,0.9774689472348963,bulk ESS < 400; tail ESS < 400
kappa_t_start,0.1506523417898899,0.05219876925151284,0.07835069361937474,0.22955717073721915,0.008253350094617157,40.0,40.0,0.9747156382924538,bulk ESS < 400; tail ESS < 400
kappa_t_mid,0.13363407495494153,0.051140754374552136,0.044314966520854884,0.21095681746445527,0.008086063254140227,40.0,40.0,0.9843387837624414,bulk ESS < 400; tail ESS < 400
kappa_t_end,0.1834659969553178,0.07095918577804503,0.04187682206451144,0.28754431579414774,0.011219632398482478,40.0,40.0,0.9781586929110959,bulk ESS < 400; tail ESS < 400
phi_1,0.8929549793510365,0.042897940744937794,0.7897450590506465,0.948313251588907,0.006782759984247183,40.0,40.0,0.9772726635285208,bulk ESS < 400; tail ESS < 400
rho_1,0.7989471889728847,0.13459109820746973,0.5547462343671341,1.0550777815683168,0.0280416075760288,23.037049681876653,40.0,1.0175156662371663,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.014728897337060527,0.12985125707076534,-0.21136191545512378,0.26067167992486284,0.022352362313301535,33.7477994724735,40.0,0.9810274862589268,bulk ESS < 400; tail ESS < 400
n,-0.020428061012555208,0.026128117995200158,-0.0618394001639018,0.03481956394278597,0.004131218191923244,40.0,40.0,0.9773800586491762,bulk ESS < 400; tail ESS < 400
lambda_ez,0.11787204046750413,0.12540444988828173,-0.14103896636791202,0.31339203628607765,0.019828184518370914,40.0,40.0,0.9749957291463601,bulk ESS < 400; tail ESS < 400
rho,0.10530679709616883,0.110745852840722,-0.11579137613013146,0.27038656384765763,0.0175104568197255,40.0,40.0,0.9749870714463554,bulk ESS < 400; tail ESS < 400
sigma_eta,0.6408662788298691,0.0357002121844126,0.583397943561113,0.723450379022146,0.005644699172701947,40.0,40.0,1.0227341905521194,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_e,0.6484957345338882,0.03639406779474323,0.5899605743261709,0.7281454652822051,0.005754407377498499,40.0,40.0,1.0232412146938676,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_zeta,0.5801827450518585,0.03880998840016758,0.5214023971377723,0.6630275211946962,0.006136397965462194,40.0,40.0,0.9968028702692401,bulk ESS < 400; tail ESS < 400
sigma_u,0.3218959039934874,0.028731884879214697,0.27496571143215615,0.3777818268907556,0.007185624438598096,15.988186506633951,40.0,0.9761521826932114,bulk ESS < 400; tail ESS < 400
sigma_eps,0.32841959726958014,0.033583467433519185,0.2735647038373664,0.3993871366631286,0.006473399860985806,26.91449281170184,24.207628784899725,0.9786099896705812,bulk ESS < 400; tail ESS < 400
sigma_N,0.2834892309632043,0.03161002502345972,0.2409961894842323,0.34545222102295237,0.009269594272779444,11.628621315971388,40.0,0.9785340466595498,bulk ESS < 400; tail ESS < 400
