parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6373563188792669,0.04966821362158472,0.5389886106939235,0.7318270274205364,0.000881352677586984,3175.8327589179885,2826.145090523006,1.0011520723461114,
kappa_0,0.13796513804145824,0.045038969823964665,0.047164957941757346,0.22654880056826276,0.0007984753760478964,3181.66053825938,3200.0,0.9997996249013832,
delta,-0.0017616686697285375,0.008635411975399167,-0.018581673360147707,0.015216629318574957,0.00015630954765617045,3052.0743608982593,2870.14784147677,1.0003679457839267,
kappa_t_mean,0.13697763963920592,0.044233848107328416,0.047288924414915945,0.22289939982529997,0.0007819513488666913,3200.0,3200.0,0.999868675665609,
kappa_t_start,0.13281237000591145,0.04962188118312715,0.03381142390829703,0.23253940297979336,0.0008771992169955587,3200.0,2940.9110945669054,1.0003260694714553,
kappa_t_mid,0.13586624470572758,0.044420881838454274,0.04713423084361886,0.22179263262445836,0.0007852576693564342,3200.0,2937.7701824404535,0.9996874521511957,
kappa_t_end,0.14269400811604785,0.054175065485982284,0.03531124756966719,0.24893480417819433,0.0009768734551190972,3075.5463244102084,3200.0,1.000118480523107,
phi_1,0.8785779029904924,0.03612435037069639,0.8083074360540417,0.949656690010184,0.0006385943278269547,3200.0,3200.0,1.0013604142813133,
rho_1,1.182773672653989,0.21203224149080824,0.5226981251128306,1.3950233097679419,0.06220478826895894,11.618663574723579,21.86427005171886,1.0917112082247653,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.2872575721659312,0.07769163497250278,-0.4443298681141611,-0.1359068765144297,0.003723265183305088,435.41218999467463,418.3442547150593,1.00933777840542,
n,-0.0490482870209204,0.013586029515905948,-0.06942643653979633,-0.011651410921576967,0.0031359230679750987,18.76956933478414,21.936623907666178,1.0660935451744804,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
lambda_ez,0.11540449088255077,0.1175372103566063,-0.11451082758870677,0.34817787115785875,0.0021558684857938457,2972.3929980834555,3081.4369203065135,0.9996960879619381,
rho,0.10369502513594382,0.10491303524647723,-0.10309613246209963,0.30458536860666574,0.001925050417147473,2970.124726057274,2965.805769202854,0.9996906536752912,
sigma_eta,0.6431894986437129,0.04047893738635999,0.570850056151216,0.7292158162442974,0.0007155732780280203,3200.0,3200.0,0.9997070605519213,
sigma_e,0.6504363855235735,0.04111615579169809,0.5770381706704357,0.7382498209492797,0.0007268378144158065,3200.0,3200.0,0.9997094268835183,
sigma_zeta,0.5867894080284525,0.0386221933296573,0.5178439591420241,0.6704511709180117,0.0006827503701924629,3200.0,2742.1104760574203,0.9999262942337624,
sigma_u,0.07990272753784829,0.009436730545540117,0.05802899983132396,0.0970510112867183,0.001722498046087769,30.014121278274327,23.964749163601244,1.045601058335246,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_eps,0.06278449475170901,0.022535946690873384,0.04289192838185019,0.13167489758391568,0.006675871672780818,11.395559514383617,22.102143865892806,1.1074154083076742,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_N,0.04165200645203781,0.004759981382638971,0.03405748563737899,0.05251246068955115,0.0006497072374927025,53.67537643000747,69.68579945399672,1.0228869026611034,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
