parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6796526413808199,0.056328785827809945,0.5679595593827536,0.7909335716117262,0.0009957616608712277,3200.0,2988.6062488779194,0.999708623559946,
kappa_0,0.14136439544833057,0.06259637287002628,0.019995924405194664,0.26457523927687104,0.0011065579933519304,3200.0,1714.0444474295348,1.0007224074135406,
delta,-0.004765002660111439,0.04237868376581643,-0.09079968457051868,0.0859410576980667,0.0007573711173396744,3130.9594975577306,1491.0662946626135,0.9996884315826481,
kappa_t_mean,0.14294478195755597,0.04862132971140581,0.0447474225585715,0.2376895202410051,0.0008595117987310501,3200.0,3200.0,1.0008092740852648,
kappa_t_start,0.13418529975563123,0.061664525606437266,0.015365319429286421,0.25285131553872686,0.0010900851053740823,3200.0,2757.389224346553,0.999690075845994,
kappa_t_mid,0.14280887308115273,0.048740174768962176,0.04340363043934772,0.2369303199500308,0.0008789210609987596,3075.207474801824,3200.0,1.0008008328346074,
kappa_t_end,0.15221953969973043,0.0825441745741457,-0.008242168087806156,0.3154590183294784,0.0014591886397206156,3200.0,3037.4180450775693,1.001090671860179,
phi_1,0.9028057291723001,0.03845313670996958,0.8274036152985383,0.9790411342265788,0.0006797618431378215,3200.0,2924.2849866795445,0.9998332029857608,
rho_1,1.888121018541431,0.04529822555127728,1.7951653748456915,1.9739714682328309,0.0019606597308217417,533.7746218496941,411.34886146637797,1.0143859175512282,R-hat > 1.01
rho_2,-0.8969513056221171,0.04313555664254551,-0.9795026521424565,-0.8093370933903471,0.001688130791801421,652.9179831285784,531.7461616355705,1.0115548815361857,R-hat > 1.01
n,-0.026595434489930226,0.026843741673049284,-0.057353581422993155,0.03550558725860907,0.0035327666573612493,57.73726345108187,63.62532335584564,1.0476584925032195,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
lambda_ez,0.1391865161502792,0.11602727385026099,-0.08658349709977357,0.36082448842660014,0.002051091803552703,3200.0,3200.0,1.0000627288883206,
rho,0.12838575594687462,0.10573932603631392,-0.07643594960630935,0.3269623851068322,0.0018692248619593208,3200.0,3200.0,1.0000934522545495,
sigma_eta,0.6219408473856691,0.039665392542159665,0.5519069754230636,0.7061209180664254,0.0007011917011246852,3200.0,2934.164792369558,0.9997974005262871,
sigma_e,0.6308911680266922,0.04038169115985351,0.5600432486641967,0.7180150663556935,0.0007138541913728318,3200.0,3122.08637439943,0.999724044424142,
sigma_zeta,0.5852012768243758,0.03868183813850665,0.514462969367184,0.6668028399513679,0.0006838047514124616,3200.0,3200.0,0.9996942335427308,
sigma_u,0.0441217926502623,0.004007380549528039,0.0368882794002306,0.05255973649169374,9.661529917050083e-05,1720.399730481675,2809.2435296118288,1.0006549262747846,
sigma_eps,0.029951571324586385,0.0034409833936889954,0.024016022145234215,0.037463075908727085,7.369575833467823e-05,2180.118845796696,2617.59687290656,1.0007442399564803,
sigma_N,0.02335804931121994,0.002316143739988217,0.019309511078623387,0.02835976242939098,4.486810292103259e-05,2664.7446664416207,2703.498319088041,1.0003746914056786,
