parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6400133867499807,0.050163025429241066,0.5401222681443726,0.7372317227707724,0.0008886526050791245,3186.422842909312,3200.0,1.000308875391142,
kappa_0,0.06870626780730806,0.03355419880115959,0.0015597148092678312,0.1348262058862259,0.0005931600377395368,3200.0,2966.616491121542,0.9996926054458701,
delta,0.03016752270681834,0.01092265699282917,0.009222466225555191,0.05265105209581608,0.00019651168389964142,3089.440510539801,2673.409894619131,0.9996874616096628,
kappa_t_mean,0.07867231235642462,0.03242715666292558,0.014891447184096764,0.14138393305005525,0.0005952721086553404,2967.4722813339554,2830.875324115697,0.9998607191434664,
kappa_t_start,0.16599591618159892,0.05118196117306286,0.0678972473251498,0.26498389945474343,0.001003437788044748,2601.6743916869036,2709.958849072662,1.0006489764503244,
kappa_t_mid,0.07896373156866483,0.03254294795202044,0.01412647883136783,0.14224062744181976,0.0005973699613433106,2967.74800993215,2931.7112898612386,0.9998473094054198,
kappa_t_end,-0.010121204177742324,0.03994069861207786,-0.08917942834801201,0.06842322874839757,0.0008019346704078917,2480.58054949888,2699.2268908606966,1.0000144515300056,
phi_1,0.9500219383503992,0.02820034938793097,0.8949180706253899,1.005364821926201,0.0004985164571008973,3200.0,2960.4920046780253,1.0005659277463566,
rho_1,1.799375966358626,0.047628611305953486,1.7040538601378172,1.8924812485299836,0.0009849191764940786,2338.4853396763356,2579.360343731264,1.0006772460846574,
rho_2,-0.8130939265845055,0.04626522580959689,-0.9028889162971512,-0.7206315422454623,0.0009544876498401546,2349.4637333190913,2585.2740490183305,1.0006209935370034,
n,-0.048075571290485876,0.009542911230424818,-0.06626181647655911,-0.029715124519189513,0.0004547104119791991,440.44529020244534,611.4252487754386,1.0032117936683946,
lambda_ez,0.02835752389601688,0.10498681401987031,-0.18004375997852756,0.23726159852901837,0.0018750852593708118,3134.9272997035728,3119.3698517654743,0.9997148404634992,
rho,0.026284505909838992,0.09679974343517826,-0.16184969092836377,0.21691548334216879,0.0017271542563227886,3141.1317895483644,3157.4652252167707,0.9997188826500828,
sigma_eta,0.6373921755047544,0.04078377992764059,0.5654991787937076,0.7235948562646407,0.0007331898004306828,3094.155385525146,2823.0235919836705,0.9998996039381227,
sigma_e,0.6406631661751234,0.041112108911337174,0.5681259641573221,0.7270361696414389,0.0007401925533420942,3084.963906124457,2963.8193048420894,0.9999341761165207,
sigma_zeta,0.5969064020909695,0.038818359165090244,0.5244427521402549,0.6799092176186633,0.0007276297803195998,2846.1213754107116,2495.92916054239,0.9999610332611343,
sigma_u,0.04441125081160959,0.004114801211694745,0.03721098283377996,0.05343136264712376,7.768670437961518e-05,2805.461554854707,3200.0,0.9997346254310729,
sigma_eps,0.029366041440016345,0.0033975472670798863,0.023447910537473117,0.03702982213141441,7.26950587500102e-05,2184.3449911534603,2537.4702488734147,1.0008614385590524,
sigma_N,0.023080007241540867,0.0022795418843568616,0.01905728489260599,0.028181346412809838,4.4596416468510805e-05,2612.7341853362486,3092.162715282485,0.9998166838231477,
