parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6365623261654434,0.04999810520138895,0.5588423766191786,0.7326087716494568,0.007905394556455036,40.0,40.0,1.0830280403687955,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_0,0.07010829316526174,0.043020316000507194,-0.01894487215738492,0.14576055428233378,0.006802109211089409,40.0,40.0,0.9785291384262436,bulk ESS < 400; tail ESS < 400
delta,0.023056008278434965,0.014659885749062275,-0.0044157409116547955,0.04611093789798255,0.002428421346468733,36.44291329583173,24.20762878489973,0.9801311196721008,bulk ESS < 400; tail ESS < 400
kappa_t_mean,0.07802880404838104,0.041498183373506935,-0.005893226208623199,0.15193307673508127,0.006561438910980592,40.0,40.0,0.9847191634084578,bulk ESS < 400; tail ESS < 400
kappa_t_start,0.1095939184874875,0.06006287877831634,-0.004556435451225465,0.22390142326931892,0.00949677498830356,40.0,40.0,1.4991426531699026,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_mid,0.10668159564235331,0.05895229748893969,-0.014001025929160704,0.208348798584805,0.009321176668243721,40.0,40.0,0.9926999815721826,bulk ESS < 400; tail ESS < 400
kappa_t_end,0.008956023986257925,0.04655735879719272,-0.08788545835246565,0.09759981572736627,0.007686417659178718,36.68839483643223,40.0,0.9925619454765299,bulk ESS < 400; tail ESS < 400
phi_1,0.9493193200643804,0.029899161268781272,0.8948477755340606,1.0029228805043635,0.004727472486901934,40.0,40.0,0.9777461941596305,bulk ESS < 400; tail ESS < 400
rho_1,0.7165100435866739,0.36099584169948823,0.13519468429499357,1.2061131228810595,0.10019069498194391,12.982239604130118,19.83886561392201,3.797846376255798,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.21874633520601733,0.1703248349975422,-0.5326549252615688,0.07358184042626684,0.05436163168939686,9.816823577523673,21.729615248852806,1.9194731865627135,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
n,-0.032304093793465924,0.020961436458049144,-0.07036650659066834,0.003808917440803846,0.004250888101586535,24.315473772430686,23.291713961407492,1.6549853188847992,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
lambda_ez,0.023470051774075955,0.11406862154157885,-0.21176061129787818,0.1822946180483883,0.018035832681356816,40.0,40.0,0.9928147565529848,bulk ESS < 400; tail ESS < 400
rho,0.020318164579939058,0.10487237510569952,-0.1908763306387211,0.16653064240106805,0.016581778448277604,40.0,40.0,0.9976541097897074,bulk ESS < 400; tail ESS < 400
sigma_eta,0.6399215950400761,0.035212345705335595,0.5831702100460066,0.7042698308585266,0.005567560709305436,40.0,40.0,0.9821627882538286,bulk ESS < 400; tail ESS < 400
sigma_e,0.6435607948104755,0.03586638863985059,0.5848158820333036,0.7095742328634455,0.005670973977335823,40.0,40.0,0.9823362221614074,bulk ESS < 400; tail ESS < 400
sigma_zeta,0.5924002746970425,0.03573121991918146,0.5160387253447716,0.6559946448688113,0.005649601926049547,40.0,40.0,1.0369403842546479,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_u,0.09245618455078991,0.025661826667258927,0.061288953052115645,0.1372048645861611,0.008393328020691324,9.347742534793424,19.83886561392201,1.93395724055011,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_eps,0.15924850609967636,0.04781360275493578,0.08330843462163595,0.23740022185560333,0.01588476641819448,9.060272753363465,24.207628784899725,2.491498489106795,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_N,0.07892161013147997,0.02442958936501121,0.04903724488818917,0.1482040645594852,0.006056756356002958,16.26867287379054,24.207628784899725,1.1092867907807995,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
