severity,parameter,warning
warning,alpha,R-hat 1.075 > 1.01
warning,alpha,bulk ESS 40.0 < 400
warning,alpha,tail ESS 40.0 < 400
warning,kappa_0,R-hat 1.024 > 1.01
warning,kappa_0,bulk ESS 40.0 < 400
warning,kappa_0,tail ESS 23.3 < 400
warning,delta,bulk ESS 40.0 < 400
warning,delta,tail ESS 40.0 < 400
warning,kappa_t_mean,R-hat 1.022 > 1.01
warning,kappa_t_mean,bulk ESS 40.0 < 400
warning,kappa_t_mean,tail ESS 23.3 < 400
warning,kappa_t_start,bulk ESS 40.0 < 400
warning,kappa_t_start,tail ESS 40.0 < 400
warning,kappa_t_mid,bulk ESS 40.0 < 400
warning,kappa_t_mid,tail ESS 40.0 < 400
warning,kappa_t_end,R-hat 1.043 > 1.01
warning,kappa_t_end,bulk ESS 40.0 < 400
warning,kappa_t_end,tail ESS 40.0 < 400
warning,phi_1,R-hat 1.089 > 1.01
warning,phi_1,bulk ESS 40.0 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,rho_1,R-hat 1.246 > 1.01
warning,rho_1,bulk ESS 10.5 < 400
warning,rho_1,tail ESS 24.2 < 400
warning,rho_2,R-hat 1.299 > 1.01
warning,rho_2,bulk ESS 9.1 < 400
warning,rho_2,tail ESS 21.7 < 400
warning,n,bulk ESS 25.1 < 400
warning,n,tail ESS 40.0 < 400
warning,lambda_ez,R-hat 1.021 > 1.01
warning,lambda_ez,bulk ESS 40.0 < 400
warning,lambda_ez,tail ESS 40.0 < 400
warning,rho,R-hat 1.010 > 1.01
warning,rho,bulk ESS 40.0 < 400
warning,rho,tail ESS 23.3 < 400
warning,sigma_eta,R-hat 1.103 > 1.01
warning,sigma_eta,bulk ESS 40.0 < 400
warning,sigma_eta,tail ESS 24.2 < 400
warning,sigma_e,R-hat 1.103 > 1.01
warning,sigma_e,bulk ESS 40.0 < 400
warning,sigma_e,tail ESS 24.2 < 400
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 40.0 < 400
warning,sigma_u,bulk ESS 8.8 < 400
warning,sigma_u,tail ESS 24.2 < 400
warning,sigma_eps,bulk ESS 11.7 < 400
warning,sigma_eps,tail ESS 40.0 < 400
warning,sigma_N,R-hat 1.023 > 1.01
warning,sigma_N,bulk ESS 7.9 < 400
warning,sigma_N,tail ESS 40.0 < 400
