parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.64469740620662,0.048628768318942285,0.5463569298424837,0.7213354614050815,0.007688883384824751,40.0,40.0,1.0491699716790206,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_0,0.08578307066507428,0.04165485027873539,0.012297760738025307,0.1431695906719276,0.008082338005901874,26.561777717962357,40.0,1.0106773394393336,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
delta,0.02849516172618959,0.014066625960227229,0.000317850685345677,0.049175466116218376,0.002224128851398557,40.0,40.0,1.0143803400631897,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_mean,0.08872154995654409,0.03569364295941435,0.027948311216106053,0.14099354505799538,0.005903721878696693,36.55358445487444,19.83886561392201,1.0140226191747301,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_start,0.11824555122536909,0.055101400452972286,0.03297081903254939,0.21653758139110182,0.011200731172468245,24.20095622853727,40.0,1.05268575990923,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_mid,0.12345964438994672,0.050598436373529045,0.046930356715020466,0.20296233983420217,0.008766144999835988,33.316309843409144,40.0,0.9760604383878912,bulk ESS < 400; tail ESS < 400
kappa_t_end,0.0029754550411999437,0.04754356507221035,-0.09693243006924689,0.09588219757289626,0.009405266706010463,25.55296251795473,40.0,0.9807029445873081,bulk ESS < 400; tail ESS < 400
phi_1,0.9468896868414782,0.019894728476445283,0.9207415472960767,0.9916146041665309,0.0032585972476093686,37.27474317609749,40.0,0.9771088810312237,bulk ESS < 400; tail ESS < 400
rho_1,0.7637242478878592,0.15056416331675046,0.5135761288971894,1.0050665725636,0.04485078413030487,11.269461124110185,24.207628784899725,1.218014640771625,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,0.016357661196962157,0.12662055172810374,-0.19115160912392534,0.20117442832551943,0.02680901547623563,22.307282759440632,40.0,0.9819038289460473,bulk ESS < 400; tail ESS < 400
n,-0.022662642549466334,0.025884536211306174,-0.08651383617774967,0.017963613000329,0.004270700358884828,36.73521388030627,23.291713961407492,0.9910454608786726,bulk ESS < 400; tail ESS < 400
lambda_ez,0.034004281751091096,0.10657471324729559,-0.1372454878869003,0.2414705813511967,0.016850941742038692,40.0,40.0,1.0171673536240589,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho,0.029475344597215503,0.09588286047939133,-0.13572042886244876,0.21894565993541115,0.01516041138435104,40.0,40.0,1.0071436550159671,bulk ESS < 400; tail ESS < 400
sigma_eta,0.6472658348249342,0.046875758579920615,0.565548890553605,0.7338294122011241,0.01035137727202033,20.506915549982192,24.207628784899725,1.084769472717697,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_e,0.6505859784567933,0.04823209666432356,0.5687249435717009,0.7342588853504346,0.00994310696940682,23.530332234930956,24.207628784899725,1.093835894280552,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_zeta,0.6009861454107533,0.04526686214457649,0.5262914155152248,0.678346265636909,0.007157319345285795,40.0,40.0,0.9763991302897694,bulk ESS < 400; tail ESS < 400
sigma_u,0.3229999284583907,0.02154684739754333,0.2791112961792586,0.3563231524602545,0.003672380546849319,34.42485465326173,40.0,0.9746930901310279,bulk ESS < 400; tail ESS < 400
sigma_eps,0.33263081752572643,0.02972230683546313,0.28185851624347874,0.4031942401160181,0.005742305540062943,26.791216416817807,40.0,0.985103218500752,bulk ESS < 400; tail ESS < 400
sigma_N,0.2920897460256212,0.02780174704856891,0.25077308512839885,0.3424030531485825,0.00585129231743453,22.57566672788814,21.729615248852806,1.0943240616331569,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
