parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6280651037613717,0.045916032304349916,0.5503387403669573,0.71938347937328,0.010039203468910612,20.918483305084617,20.431463657484233,1.1544899498544068,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_0,0.07549352031011847,0.04027824709882963,-0.011786381348777441,0.14361348310768582,0.006368550049568538,40.0,40.0,0.9783032375231808,bulk ESS < 400; tail ESS < 400
delta,0.010181397708451279,0.009372051277075725,-0.006456610266405066,0.02574418315717886,0.0014818514191724545,40.0,24.207628784899725,0.9756131854572104,bulk ESS < 400; tail ESS < 400
kappa_t_mean,0.07539996161556649,0.04041079362162995,-0.011201606484486551,0.14421955213191204,0.006389507494967761,40.0,40.0,0.9783045976806215,bulk ESS < 400; tail ESS < 400
kappa_t_start,0.07249759746493871,0.041089674404981395,-0.013874181338727407,0.13265253162376123,0.006496847971723255,40.0,40.0,0.986264839004748,bulk ESS < 400; tail ESS < 400
kappa_t_mid,0.0912859734087761,0.04385106783508922,0.0031100654518747455,0.17445282791704067,0.0069334626094715406,40.0,40.0,0.9754633250791512,bulk ESS < 400; tail ESS < 400
kappa_t_end,0.046680438742239164,0.045215455189798845,-0.04739535307069676,0.11569303691659308,0.007149191192052265,40.0,40.0,0.9758412895185009,bulk ESS < 400; tail ESS < 400
phi_1,0.9364859894924343,0.025334835031209483,0.8900914792149156,0.9727119336255171,0.004639034455713293,29.825035209870528,40.0,1.029214205130483,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_1,0.5462069647959649,0.08538470420688643,0.38975380052949327,0.6759619431675736,0.017349044561760826,24.221945993021038,24.207628784899725,1.0019286807150916,bulk ESS < 400; tail ESS < 400
rho_2,-0.31998623364547446,0.10106122807773116,-0.47958919271297534,-0.16632826849899646,0.022404537915187143,20.34684892314028,23.291713961407492,1.0121271131779201,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
n,-0.0030615586090694466,0.02916351405305337,-0.05437758649335113,0.04615054172498393,0.004611156449098862,40.0,40.0,0.9825202475467582,bulk ESS < 400; tail ESS < 400
lambda_ez,0.012822223811211269,0.10191930024299019,-0.16722978273224073,0.18609077238402175,0.016114856314920076,40.0,40.0,0.9750868153971421,bulk ESS < 400; tail ESS < 400
rho,0.008813516584458777,0.09000246061358204,-0.17699308422258042,0.1595282572026186,0.014230638527925745,40.0,40.0,0.9751471200188772,bulk ESS < 400; tail ESS < 400
sigma_eta,0.6582733574344989,0.037394202189862134,0.6057347677435533,0.7350369768183775,0.0059125425102410254,40.0,40.0,1.0212654564639847,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_e,0.6609224983800477,0.03740277047273997,0.609313508335613,0.738860106513492,0.005913897274717554,40.0,40.0,1.0169436623394636,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_zeta,0.5845002345126312,0.03543505725588093,0.5320045140538843,0.652638834262142,0.005602774497352985,40.0,40.0,0.9880404094897203,bulk ESS < 400; tail ESS < 400
sigma_u,0.4200930024807711,0.028365079430609196,0.3716258744275105,0.47469160526887444,0.005250235189074176,29.188413573972237,40.0,0.9819697243967568,bulk ESS < 400; tail ESS < 400
sigma_eps,0.4426962609980423,0.04802380827542368,0.3598501403927912,0.5176224064484348,0.012395678469533853,15.00971990122536,20.431463657484233,0.9746836560193388,bulk ESS < 400; tail ESS < 400
sigma_N,0.40749363739832667,0.03507139295210264,0.3569751566003519,0.47896374455089524,0.007257793465658596,23.35053417044713,40.0,0.9963770076700286,bulk ESS < 400; tail ESS < 400
