severity,parameter,warning
warning,alpha,bulk ESS 40.0 < 400
warning,alpha,tail ESS 20.4 < 400
warning,kappa_0,bulk ESS 20.2 < 400
warning,kappa_0,tail ESS 22.5 < 400
warning,delta,bulk ESS 12.5 < 400
warning,delta,tail ESS 40.0 < 400
warning,kappa_t_mean,bulk ESS 40.0 < 400
warning,kappa_t_mean,tail ESS 40.0 < 400
warning,kappa_t_start,bulk ESS 40.0 < 400
warning,kappa_t_start,tail ESS 40.0 < 400
warning,kappa_t_mid,R-hat 1.013 > 1.01
warning,kappa_t_mid,bulk ESS 40.0 < 400
warning,kappa_t_mid,tail ESS 40.0 < 400
warning,kappa_t_end,bulk ESS 30.6 < 400
warning,kappa_t_end,tail ESS 20.4 < 400
warning,phi_1,bulk ESS 40.0 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,rho_1,R-hat 1.172 > 1.01
warning,rho_1,bulk ESS 32.9 < 400
warning,rho_1,tail ESS 40.0 < 400
warning,rho_2,R-hat 1.035 > 1.01
warning,rho_2,bulk ESS 40.0 < 400
warning,rho_2,tail ESS 40.0 < 400
warning,n,bulk ESS 24.3 < 400
warning,n,tail ESS 40.0 < 400
warning,lambda_ez,bulk ESS 26.8 < 400
warning,lambda_ez,tail ESS 23.3 < 400
warning,rho,bulk ESS 28.3 < 400
warning,rho,tail ESS 23.3 < 400
warning,sigma_eta,bulk ESS 40.0 < 400
warning,sigma_eta,tail ESS 40.0 < 400
warning,sigma_e,bulk ESS 40.0 < 400
warning,sigma_e,tail ESS 40.0 < 400
warning,sigma_zeta,R-hat 1.050 > 1.01
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 40.0 < 400
warning,sigma_u,R-hat 1.174 > 1.01
warning,sigma_u,bulk ESS 27.9 < 400
warning,sigma_u,tail ESS 40.0 < 400
warning,sigma_eps,bulk ESS 24.7 < 400
warning,sigma_eps,tail ESS 23.3 < 400
warning,sigma_N,bulk ESS 21.4 < 400
warning,sigma_N,tail ESS 40.0 < 400
