parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6417313720932738,0.05317333336470432,0.5377483920192102,0.7419827107404788,0.0009399806150118831,3200.0,3115.048380172889,0.9997004679531581,
kappa_0,0.11349395437606859,0.08831412403246965,-0.021134487369612053,0.328831090779496,0.002622585729742632,1133.9683775019828,999.3791546918252,0.9997281962687059,
delta,0.05433220255905013,0.04719856767218842,-0.08186906196025118,0.1446668880216026,0.0036704899580552327,165.35204035750982,114.53131012175821,1.0019377691243405,bulk ESS < 400; tail ESS < 400
kappa_t_mean,0.10989405427166025,0.04192338655337904,0.02678787962469099,0.19401384974313676,0.0014071694695812463,887.6053415565415,562.3974891821669,1.0015784747448926,
kappa_t_start,0.18158929605746912,0.05989917966192419,0.07069339211105174,0.3052211579555241,0.0010936171077548385,2999.9302583078625,3169.3441486429006,0.9997244892391608,
kappa_t_mid,0.15139176380812208,0.07809782091031059,-0.02329766368441033,0.30382984619789444,0.004114429884776808,360.29522057399925,176.6602926901145,1.0047000413431362,bulk ESS < 400; tail ESS < 400
kappa_t_end,-0.038136054063493914,0.05259089904873082,-0.14760035563507592,0.058355240823966745,0.0010025033208212433,2752.007103619034,2572.129758094895,1.0002103739919352,
phi_1,0.9534229240957529,0.02817897814243411,0.8987785713615779,1.0080162508902326,0.0004981386632855665,3200.0,3200.0,0.9997477363866112,
rho_1,0.854712165419464,0.1898322047861591,0.49466048707056454,1.2297809012198615,0.0051037038524671206,1383.4671503661639,1890.4422429922972,1.0008194106437354,
rho_2,0.0876144411517587,0.17598710261135558,-0.26505158416261776,0.4175248299984034,0.003823392433973852,2118.672988796259,1972.8535462119798,1.0000339753524559,
n,-0.03007616042668168,0.02697318313317043,-0.07882807914657884,0.025712774999189073,0.001032724867324528,682.1739525161345,411.91644460624553,1.0036965752971294,
lambda_ez,0.011465052904965058,0.10250428634679447,-0.17986053830549262,0.21414240861346254,0.00182020294626261,3171.351839715793,3200.0,0.999906919383329,
rho,0.010639304241701508,0.09653508279895053,-0.17159463239413925,0.1996917145496973,0.0017187030729566908,3154.7768109273757,3200.0,0.9999208154363629,
sigma_eta,0.6267285610209058,0.04065281104774552,0.5521742300040707,0.7111572006060795,0.0007550476455309277,2898.8947488970007,2556.0193617125337,1.0000160266515001,
sigma_e,0.6297419551296123,0.040989110315329355,0.5538902299664425,0.7149840448118754,0.0007678876664817736,2849.322446676617,2203.529641743788,0.9999581348759214,
sigma_zeta,0.5970644138106784,0.03852075162635674,0.5264125595587763,0.6775777682314311,0.0006891511523340337,3124.3561351784374,3079.2598317031075,0.9997500666601942,
sigma_u,0.24238737966892082,0.023626492532751196,0.19984646546291054,0.2926143982322114,0.000510843936625432,2139.0553410755842,2599.3423625413216,1.0011295021838194,
sigma_eps,0.2440116117476036,0.02385710822164066,0.20195401867203086,0.29544233322369085,0.0004643176680944042,2640.0076295933045,2826.402757633175,0.9998612768094954,
sigma_N,0.21178743522269933,0.019423104616594095,0.17672574790844903,0.25317565489986027,0.00037247799067950357,2719.1681648752137,2569.1948789091393,1.0006473973669308,
