run,model,data_spec,prior_spec,constraint_spec,sample_start,sample_end,kappa0_mean,p_kappa0_gt0,delta_mean,p_delta_gt0,theta0_mean,p_theta0_gt0,gamma_mean,p_gamma_gt0,corr_kappa0_delta,kappa_t_overall_mean,kappa_t_start_mean,kappa_t_end_mean,kappa_t_sd_over_time,p_all_kappa_t_gt0,theta_t_overall_mean,theta_t_start_mean,theta_t_end_mean,theta_t_sd_over_time,Nbar_overall_mean,Nbar_start_mean,Nbar_end_mean,Nbar_sd_over_time,Nhat_overall_mean,Nhat_start_mean,Nhat_end_mean,Nhat_sd_over_time,corr_x_xNbar,sd_xNbar,design_condition_number,latent_ols_rmse,alpha_ols_latent,kappa0_ols_latent,delta_ols_latent,theta0_ols_latent,gamma_ols_latent,N_decomposition_rmse
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,1982-03-31,2012-12-31,0.03570528601637563,0.6128125,-0.001961079843739374,0.465625,0.05644121833999453,0.5446875,-0.006052334325692786,0.385,-0.008236507641669402,0.03585384531215589,0.035072521801611585,0.04084040040033621,0.002699657400304792,0.49375,0.056793062934796676,0.05336822147872466,0.07061024594694999,0.0072975738554404345,-0.08693375196794789,0.16238294192899275,-2.587053879589555,1.3947329890139901,0.08630282868072033,-0.4594839680386912,-0.10361077230553171,0.3308835329077451,-0.32470604132832953,0.9024836230539899,3.297477484657452,0.6389337098976456,0.6213180873538816,-0.005370399074824012,-0.02945047114011337,0.24115575686909704,0.036275553161018534,0.006790965600133623
hsa_full_labor_share_gap_hp_baseline_20260623_110901,hsa_full,labor_share_gap_hp,baseline,unrestricted,1982-03-31,2012-12-31,-0.002926819452816327,0.479375,0.00898595499932799,0.6834375,0.2437113067707368,0.998125,-0.006440799318898382,0.369375,0.0911610086244069,-0.004814103662618697,-0.018638020960903365,-0.021140611199935225,0.010664475480733232,0.3071875,0.245075268569153,0.25731083213324896,0.25459531901025206,0.006957954067302884,-0.2078124190498879,-1.7385808951079258,-1.9223395900973044,1.124981780990113,0.20785439167595054,1.5156389988654586,-0.7701036764986966,0.7775703542278086,-0.5489486081121316,1.3485724563255541,2.3996607147463505,0.5842451652069576,0.5827917589509477,0.035940719509540545,0.05841079008788657,0.299586276335584,-0.06086911214351687,0.002363766438040291
hsa_full_output_gap_bn_baseline_20260623_011030,hsa_full,output_gap_bn,baseline,unrestricted,1982-03-31,2012-12-31,0.08768732699329711,0.96125,-0.021934211742128742,0.1065625,0.07550886667431053,0.4996875,0.0008215024418950262,0.54375,0.168157753773357,0.08575032276360012,0.05089974921069959,0.1626899192963799,0.04641237186106889,0.555625,0.07617857877656743,0.08607972099028632,0.06900175938866279,0.0056129302395309996,0.06408862635326429,0.9469593740517449,-3.0498649285024033,1.8588508339677772,-0.06368634320635977,-1.1418919288503466,0.35540881463077395,0.4488618115301009,-0.17444426351171735,2.7205399847820733,2.1919429774457786,0.5751224418336647,0.5806948706446343,0.054374190107053764,-0.10002500518100314,-0.5824867088091974,0.22322699636642218,0.0034233340834465653
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,1982-03-31,2012-12-31,0.13883720949489786,0.9946875,-0.011231073012576365,0.2721875,0.21958953018105398,0.983125,-0.002779330430030347,0.451875,0.14017916829470226,0.13983854571310564,0.14599409999608237,0.1625334114553849,0.013842331009110148,0.9540625,0.219883728246607,0.22279252755457718,0.22618614020802436,0.003242629740587532,-0.04646149086686408,-0.8218208861694279,-1.9000249215665366,1.1596037669429458,0.046361903321903424,0.569207421102102,-0.7871860862532952,0.5891660943629747,-0.5575759409388059,1.4991889632474193,2.0884726710550683,0.5439591320437951,0.5470160217658593,0.1106313925048515,-0.08855444560647918,0.4592648987861965,0.011652489821584922,0.0035219385480107384
hsa_full_unemployment_gap_baseline_20260623_014002,hsa_full,unemployment_gap,baseline,unrestricted,1982-03-31,2012-12-31,0.07655548852776327,0.9515625,0.018312380744689615,0.8225,0.11979513542604851,0.7021875,-0.005873539206777412,0.3865625,0.19280196633785412,0.08508651961803773,0.11803965029771675,0.02822303393251741,0.03161585675725436,0.5659375,0.11674365314269329,0.10620548297630127,0.13317224275926454,0.009042366435919203,0.3142791981263192,1.1935694289058958,-2.264743926544852,1.4436714362870813,-0.3153820763020331,-1.5308255217836517,-0.4273081940490306,0.44480208394684156,-0.41767043525847136,3.1960082391594216,3.2501476145590846,0.6011304798312518,0.616366980448471,0.15817551856226975,0.05340236509834092,0.3054683543485914,-0.12953551236843217,0.01030918187191355
hsa_steady_inv_markup_baseline_20260623_002005,hsa_steady,inv_markup,baseline,unrestricted,1982-03-31,2012-12-31,0.01013161502826852,0.53125,-0.00312055868067384,0.4278125,,,,,0.03322167356188927,0.009576191401436032,0.00877601131871102,0.018226966606668383,0.004834374062583567,0.3890625,,,,,-5.307741064733651e-06,0.3168479205406322,-2.6432331151803363,1.5200079879124062,-0.00018731797444221712,-0.555047782248626,-0.04634330271198237,0.2135878442302967,-0.266092340140196,0.9617197475819433,1.3799834223037346,0.6446186233114195,0.6468301906358512,-0.038017232813642235,-0.03274298874166809,,,0.012891175929359813
hsa_steady_labor_share_gap_hp_baseline_20260623_110157,hsa_steady,labor_share_gap_hp,baseline,unrestricted,1982-03-31,2012-12-31,-0.005810197263696932,0.468125,0.01564281844357553,0.799375,,,,,0.004838305516180576,-0.006212376792568967,-0.005391910046430066,-0.047967516327314906,0.024549794377051327,0.2478125,,,,,-0.0012898645833882606,0.21544889268413678,-2.6686058326893054,1.5436023374409227,0.0013957541696499086,-0.4663319062489959,-0.023730621066338418,0.19078973073093836,-0.2668252109303455,1.6365369283857187,1.4827304845625184,0.6352068638811198,0.6479472735963743,0.017305018412105525,0.07266137581229175,,,0.013470417710807666
hsa_steady_output_gap_bn_baseline_20260623_004947,hsa_steady,output_gap_bn,baseline,unrestricted,1982-03-31,2012-12-31,0.046057446759024415,0.8428125,-0.022908768926576978,0.09125,,,,,0.2670702721457108,0.04589103372358106,0.04635866554528558,0.10708814567002872,0.03591752076287132,0.4178125,,,,,0.004773101238757775,0.09400266283093264,-2.662882916917859,1.5497600636955644,-0.004088180503390129,-0.3317369674170297,-0.02719338645085241,0.16696807093176552,-0.3176798809800721,2.101910599732537,1.8693011322477426,0.6215714620726491,0.6400076483924959,0.012898240523956763,-0.07448084829426925,,,0.01378928874341334
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,1982-03-31,2012-12-31,0.13533965048350402,0.995625,-0.01054362019021758,0.266875,,,,,0.1524575651980219,0.13549671091589413,0.1351791822451066,0.163199525712706,0.016171434196215386,0.93625,,,,,0.004900385263525212,0.20694287867262354,-2.605925180839935,1.5104829003229105,-0.004820934716317669,-0.4473470636437742,-0.08206583437033033,0.19608103497802712,-0.27906017327321386,1.6958070321028282,1.4934890103419347,0.5998034165743447,0.6352105870497783,0.14877112640906281,-0.04759548647774387,,,0.013305773873402052
hsa_steady_unemployment_gap_baseline_20260623_011916,hsa_steady,unemployment_gap,baseline,unrestricted,1982-03-31,2012-12-31,0.09129553734684104,0.989375,0.028689575637517128,0.9784375,,,,,0.4108275138339317,0.09245494106689,0.12404640361219756,0.006473679110186149,0.047093186156559934,0.460625,,,,,0.03831791252362375,1.0627218718659144,-2.9076219935971324,1.6254686202056303,-0.037674588599571616,-1.3250276861568548,0.20284007881746333,0.39418131332467526,-0.528346249059875,3.9696957096485597,1.8058699218290706,0.6075422685475195,0.642637073981105,0.12383182229171845,0.05519400379608477,,,0.013532288860435622
