run,model,data_spec,prior_spec,constraint_spec,parameter,mean,r_hat,ess_bulk,ess_tail,mcse_mean,warning
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,alpha,0.6023888978615318,1.1585179183738867,111.99739277143215,2470.7324547945477,0.0056752216396773565,R-hat > 1.01; bulk ESS < 400
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,kappa_0,0.03570528601637563,1.0454824916321446,365.23692777682857,2322.2823136912493,0.006375957182242271,R-hat > 1.01; bulk ESS < 400
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,delta,-0.001961079843739374,1.0000597897114605,3200.0,3200.0,0.0003442951450540931,
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,theta_0,0.05644121833999453,2.84912153601392,23.158470370219938,94.59715196438208,0.052689361856010176,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,gamma,-0.006052334325692786,1.0005478003351167,97.02626076225197,226.40716999938743,0.00204160698533237,bulk ESS < 400; tail ESS < 400
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,rho_1,0.9616061907254473,1.0172421153771034,148.14294483315183,827.4164862400688,0.010020541091296757,R-hat > 1.01; bulk ESS < 400
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,rho_2,-0.03710490468700803,1.002385722565778,347.1089225674291,1471.3011484640192,0.006103349720579487,bulk ESS < 400
hsa_full_labor_share_gap_hp_baseline_20260623_110901,hsa_full,labor_share_gap_hp,baseline,unrestricted,alpha,0.587055852397231,1.0039024224598412,281.01109243827807,2061.8382631046197,0.0033428375630932166,bulk ESS < 400
hsa_full_labor_share_gap_hp_baseline_20260623_110901,hsa_full,labor_share_gap_hp,baseline,unrestricted,kappa_0,-0.002926819452816327,1.0021666165264014,827.9625666074216,2215.040263733898,0.002894065691932299,
hsa_full_labor_share_gap_hp_baseline_20260623_110901,hsa_full,labor_share_gap_hp,baseline,unrestricted,delta,0.00898595499932799,1.001120066304818,948.6437495078658,2451.1347986366895,0.0006035816715722019,
hsa_full_labor_share_gap_hp_baseline_20260623_110901,hsa_full,labor_share_gap_hp,baseline,unrestricted,theta_0,0.2437113067707368,1.2431933000322946,43.759803061812775,221.7347169647727,0.01672101296059232,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_full_labor_share_gap_hp_baseline_20260623_110901,hsa_full,labor_share_gap_hp,baseline,unrestricted,gamma,-0.006440799318898382,1.011952599607233,480.1239997427175,2326.0275638371413,0.0009097626306200788,R-hat > 1.01
hsa_full_labor_share_gap_hp_baseline_20260623_110901,hsa_full,labor_share_gap_hp,baseline,unrestricted,rho_1,0.9860114088961232,1.006964843155213,194.7616497234246,1846.7637187980838,0.008158748454819792,bulk ESS < 400
hsa_full_labor_share_gap_hp_baseline_20260623_110901,hsa_full,labor_share_gap_hp,baseline,unrestricted,rho_2,-0.041335427991624894,1.0026340240014553,762.8593037843135,2187.663393127978,0.003979533853736421,
hsa_full_output_gap_bn_baseline_20260623_011030,hsa_full,output_gap_bn,baseline,unrestricted,alpha,0.6043464721849415,1.016944977678888,409.09051971172664,1545.5890124231025,0.00302497117377429,R-hat > 1.01
hsa_full_output_gap_bn_baseline_20260623_011030,hsa_full,output_gap_bn,baseline,unrestricted,kappa_0,0.08768732699329711,1.0028150163072804,92.59882374871567,290.39191932972994,0.005102782913561234,bulk ESS < 400; tail ESS < 400
hsa_full_output_gap_bn_baseline_20260623_011030,hsa_full,output_gap_bn,baseline,unrestricted,delta,-0.021934211742128742,1.1529754184195564,263.5827822413909,384.79858257821445,0.0010430180757203373,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_full_output_gap_bn_baseline_20260623_011030,hsa_full,output_gap_bn,baseline,unrestricted,theta_0,0.07550886667431053,4.139363409011989,51.71198175359599,175.62190404722216,0.039153892130692675,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_full_output_gap_bn_baseline_20260623_011030,hsa_full,output_gap_bn,baseline,unrestricted,gamma,0.0008215024418950262,1.0698083913348737,279.48859156082955,1334.8013071002251,0.0010226196761956676,R-hat > 1.01; bulk ESS < 400
hsa_full_output_gap_bn_baseline_20260623_011030,hsa_full,output_gap_bn,baseline,unrestricted,rho_1,0.988042975548882,1.0193919853070368,137.7790527806127,993.6708080008029,0.010038229208720226,R-hat > 1.01; bulk ESS < 400
hsa_full_output_gap_bn_baseline_20260623_011030,hsa_full,output_gap_bn,baseline,unrestricted,rho_2,-0.04207897690257265,0.9996977064226299,710.0834710476562,2363.5774909036045,0.004213667494368039,
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,alpha,0.6239764235964957,1.004945667740884,240.33351204646064,1132.9290389091123,0.003818132466772337,bulk ESS < 400
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,kappa_0,0.13883720949489786,1.0267080432072693,293.23254577596606,870.5212935872462,0.0030385121147732765,R-hat > 1.01; bulk ESS < 400
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,delta,-0.011231073012576365,1.0087933129383342,255.58894912536184,1579.7415422293275,0.0011424301890151603,bulk ESS < 400
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,theta_0,0.21958953018105398,1.02837035358785,17.3624255650639,235.91421082980455,0.03174748272930016,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,gamma,-0.002779330430030347,1.0054061972473156,853.9118129595234,1499.2889803309654,0.0006866170740030034,
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,rho_1,0.967043301332465,1.0090604093839637,58.96046906584198,192.00814375181673,0.016824141436678,bulk ESS < 400; tail ESS < 400
hsa_full_output_gap_hp_baseline_20260623_105859,hsa_full,output_gap_hp,baseline,unrestricted,rho_2,-0.05063479366275587,1.0034478668269653,380.13989024615034,1713.955976081084,0.005898240610235125,bulk ESS < 400
hsa_full_unemployment_gap_baseline_20260623_014002,hsa_full,unemployment_gap,baseline,unrestricted,alpha,0.612574584986336,1.1702525411936906,57.23687487253477,570.5394559267856,0.00834962703778568,R-hat > 1.01; bulk ESS < 400
hsa_full_unemployment_gap_baseline_20260623_014002,hsa_full,unemployment_gap,baseline,unrestricted,kappa_0,0.07655548852776327,1.0673346445008516,48.81105931140073,103.55853476288964,0.006776436256218501,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_full_unemployment_gap_baseline_20260623_014002,hsa_full,unemployment_gap,baseline,unrestricted,delta,0.018312380744689615,1.2624164877042932,28.14210951328855,185.61655148597166,0.003811993505183626,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_full_unemployment_gap_baseline_20260623_014002,hsa_full,unemployment_gap,baseline,unrestricted,theta_0,0.11979513542604851,1.40082721953364,28.67270281583561,51.87471794705891,0.03531152310667793,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_full_unemployment_gap_baseline_20260623_014002,hsa_full,unemployment_gap,baseline,unrestricted,gamma,-0.005873539206777412,1.033938517866509,392.8792352043137,2053.0138028639512,0.0010292566921897234,R-hat > 1.01; bulk ESS < 400
hsa_full_unemployment_gap_baseline_20260623_014002,hsa_full,unemployment_gap,baseline,unrestricted,rho_1,0.9560869229686031,1.0027683058915842,53.3484480487124,246.92938804481926,0.016816687960917977,bulk ESS < 400; tail ESS < 400
hsa_full_unemployment_gap_baseline_20260623_014002,hsa_full,unemployment_gap,baseline,unrestricted,rho_2,-0.03709675108333575,1.013048621696954,493.7597345697514,2430.5835839728334,0.005103797834414335,R-hat > 1.01
hsa_steady_inv_markup_baseline_20260623_002005,hsa_steady,inv_markup,baseline,unrestricted,alpha,0.6389539664487901,0.9998505560392188,3200.0,3196.737463027,0.0009255969149647954,
hsa_steady_inv_markup_baseline_20260623_002005,hsa_steady,inv_markup,baseline,unrestricted,kappa_0,0.01013161502826852,1.0008422228866443,3200.0,3081.359980838569,0.0020544237542871224,
hsa_steady_inv_markup_baseline_20260623_002005,hsa_steady,inv_markup,baseline,unrestricted,delta,-0.00312055868067384,1.0000278293649632,2414.025709484879,3200.0,0.00038543953377815466,
hsa_steady_inv_markup_baseline_20260623_002005,hsa_steady,inv_markup,baseline,unrestricted,rho_1,0.7558966841549583,1.0023160587252073,802.0076029662295,1348.3665575349823,0.006156460536223377,
hsa_steady_inv_markup_baseline_20260623_002005,hsa_steady,inv_markup,baseline,unrestricted,rho_2,-0.021954618092582333,0.9999026081902923,1725.250854457295,2483.370295047439,0.0034035365763614204,
hsa_steady_labor_share_gap_hp_baseline_20260623_110157,hsa_steady,labor_share_gap_hp,baseline,unrestricted,alpha,0.6395339882822642,0.9997546422344306,3200.0,2735.1622652949222,0.0009358727992690276,
hsa_steady_labor_share_gap_hp_baseline_20260623_110157,hsa_steady,labor_share_gap_hp,baseline,unrestricted,kappa_0,-0.005810197263696932,1.0007675702539243,2471.804327034352,3028.2157169935595,0.0016891855365296503,
hsa_steady_labor_share_gap_hp_baseline_20260623_110157,hsa_steady,labor_share_gap_hp,baseline,unrestricted,delta,0.01564281844357553,0.9996899121312152,3200.0,3040.4743628408924,0.00032102592154132194,
hsa_steady_labor_share_gap_hp_baseline_20260623_110157,hsa_steady,labor_share_gap_hp,baseline,unrestricted,rho_1,0.7435597525614522,1.0002801215895738,1138.7937442062237,2011.6046674623994,0.005168527299906163,
hsa_steady_labor_share_gap_hp_baseline_20260623_110157,hsa_steady,labor_share_gap_hp,baseline,unrestricted,rho_2,-0.025661534106749682,0.9997655835609361,1383.267651828918,2324.2639749862474,0.0037916960599563357,
hsa_steady_output_gap_bn_baseline_20260623_004947,hsa_steady,output_gap_bn,baseline,unrestricted,alpha,0.6573260709157008,1.0005853548879406,2946.8849040343084,3173.844933104209,0.001082356646276767,
hsa_steady_output_gap_bn_baseline_20260623_004947,hsa_steady,output_gap_bn,baseline,unrestricted,kappa_0,0.046057446759024415,0.9998243075344352,3010.5006539127785,2998.074412964331,0.0008336259607428012,
hsa_steady_output_gap_bn_baseline_20260623_004947,hsa_steady,output_gap_bn,baseline,unrestricted,delta,-0.022908768926576978,1.0005986877616544,3055.378935512127,3200.0,0.0003081462879882506,
hsa_steady_output_gap_bn_baseline_20260623_004947,hsa_steady,output_gap_bn,baseline,unrestricted,rho_1,0.7362089038924791,1.000035181334547,1065.8354714355396,2338.7390368728425,0.005410462257182577,
hsa_steady_output_gap_bn_baseline_20260623_004947,hsa_steady,output_gap_bn,baseline,unrestricted,rho_2,-0.02782786738671579,0.9999801245106456,1616.4298518195499,2360.913052513803,0.003524812399455052,
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,alpha,0.6638347641736467,0.9997206669064814,3200.0,3200.0,0.0009241324499228636,
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,kappa_0,0.13533965048350402,1.0000915692463068,3195.83560887238,2982.786489858005,0.0008340810638294425,
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,delta,-0.01054362019021758,1.0009496078431734,3104.8610550921635,3039.8619062284547,0.00031160921508935314,
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,rho_1,0.754867464942717,0.9997258999383842,1118.4743888450625,1930.9122215732043,0.005098405943852332,
hsa_steady_output_gap_hp_baseline_20260623_105155,hsa_steady,output_gap_hp,baseline,unrestricted,rho_2,-0.018098305819072,0.9998594480286714,1596.3816762240053,2140.2257363101207,0.0034102886159690744,
hsa_steady_unemployment_gap_baseline_20260623_011916,hsa_steady,unemployment_gap,baseline,unrestricted,alpha,0.6411196529453559,0.9997371465388419,3052.4789352141984,3200.0,0.0009154723703430367,
hsa_steady_unemployment_gap_baseline_20260623_011916,hsa_steady,unemployment_gap,baseline,unrestricted,kappa_0,0.09129553734684104,1.0004721155365564,3190.4642108961107,2478.2842259959843,0.0007221954839598451,
hsa_steady_unemployment_gap_baseline_20260623_011916,hsa_steady,unemployment_gap,baseline,unrestricted,delta,0.028689575637517128,0.9997184845231739,2585.302863186091,2171.9394960388545,0.0002783159820319898,
hsa_steady_unemployment_gap_baseline_20260623_011916,hsa_steady,unemployment_gap,baseline,unrestricted,rho_1,0.7877659812135116,0.9996876242065857,891.0899930447711,1195.2247079902113,0.005689172012952889,
hsa_steady_unemployment_gap_baseline_20260623_011916,hsa_steady,unemployment_gap,baseline,unrestricted,rho_2,0.0021015488814502344,0.9999391725995156,1273.4617806829647,1632.5847419137453,0.0038820210932584798,
