data_spec,model,param,mean,r_hat,ess_bulk,warning,run
inv_markup,hsa_full,kappa_0,0.03570528601637563,1.0454824916321446,365.23692777682857,R-hat > 1.01; bulk ESS < 400,hsa_full_inv_markup_baseline_20260623_004058
inv_markup,hsa_full,delta,-0.001961079843739374,1.0000597897114605,3200.0,,hsa_full_inv_markup_baseline_20260623_004058
inv_markup,hsa_full,gamma,-0.006052334325692786,1.0005478003351167,97.02626076225197,bulk ESS < 400; tail ESS < 400,hsa_full_inv_markup_baseline_20260623_004058
labor_share_gap_hp,hsa_full,kappa_0,-0.002926819452816327,1.0021666165264014,827.9625666074216,,hsa_full_labor_share_gap_hp_baseline_20260623_110901
labor_share_gap_hp,hsa_full,delta,0.00898595499932799,1.001120066304818,948.6437495078658,,hsa_full_labor_share_gap_hp_baseline_20260623_110901
labor_share_gap_hp,hsa_full,gamma,-0.006440799318898382,1.011952599607233,480.1239997427175,R-hat > 1.01,hsa_full_labor_share_gap_hp_baseline_20260623_110901
output_gap_bn,hsa_full,kappa_0,0.08768732699329711,1.0028150163072804,92.59882374871567,bulk ESS < 400; tail ESS < 400,hsa_full_output_gap_bn_baseline_20260623_011030
output_gap_bn,hsa_full,delta,-0.021934211742128742,1.1529754184195564,263.5827822413909,R-hat > 1.01; bulk ESS < 400; tail ESS < 400,hsa_full_output_gap_bn_baseline_20260623_011030
output_gap_bn,hsa_full,gamma,0.0008215024418950262,1.0698083913348737,279.48859156082955,R-hat > 1.01; bulk ESS < 400,hsa_full_output_gap_bn_baseline_20260623_011030
output_gap_hp,hsa_full,kappa_0,0.13883720949489786,1.0267080432072693,293.23254577596606,R-hat > 1.01; bulk ESS < 400,hsa_full_output_gap_hp_baseline_20260623_105859
output_gap_hp,hsa_full,delta,-0.011231073012576365,1.0087933129383342,255.58894912536184,bulk ESS < 400,hsa_full_output_gap_hp_baseline_20260623_105859
output_gap_hp,hsa_full,gamma,-0.002779330430030347,1.0054061972473156,853.9118129595234,,hsa_full_output_gap_hp_baseline_20260623_105859
unemployment_gap,hsa_full,kappa_0,0.07655548852776327,1.0673346445008516,48.81105931140073,R-hat > 1.01; bulk ESS < 400; tail ESS < 400,hsa_full_unemployment_gap_baseline_20260623_014002
unemployment_gap,hsa_full,delta,0.018312380744689615,1.2624164877042932,28.14210951328855,R-hat > 1.01; bulk ESS < 400; tail ESS < 400,hsa_full_unemployment_gap_baseline_20260623_014002
unemployment_gap,hsa_full,gamma,-0.005873539206777412,1.033938517866509,392.8792352043137,R-hat > 1.01; bulk ESS < 400,hsa_full_unemployment_gap_baseline_20260623_014002
inv_markup,hsa_steady,kappa_0,0.01013161502826852,1.0008422228866443,3200.0,,hsa_steady_inv_markup_baseline_20260623_002005
inv_markup,hsa_steady,delta,-0.00312055868067384,1.0000278293649632,2414.025709484879,,hsa_steady_inv_markup_baseline_20260623_002005
labor_share_gap_hp,hsa_steady,kappa_0,-0.005810197263696932,1.0007675702539243,2471.804327034352,,hsa_steady_labor_share_gap_hp_baseline_20260623_110157
labor_share_gap_hp,hsa_steady,delta,0.01564281844357553,0.9996899121312152,3200.0,,hsa_steady_labor_share_gap_hp_baseline_20260623_110157
output_gap_bn,hsa_steady,kappa_0,0.046057446759024415,0.9998243075344352,3010.5006539127785,,hsa_steady_output_gap_bn_baseline_20260623_004947
output_gap_bn,hsa_steady,delta,-0.022908768926576978,1.0005986877616544,3055.378935512127,,hsa_steady_output_gap_bn_baseline_20260623_004947
output_gap_hp,hsa_steady,kappa_0,0.13533965048350402,1.0000915692463068,3195.83560887238,,hsa_steady_output_gap_hp_baseline_20260623_105155
output_gap_hp,hsa_steady,delta,-0.01054362019021758,1.0009496078431734,3104.8610550921635,,hsa_steady_output_gap_hp_baseline_20260623_105155
unemployment_gap,hsa_steady,kappa_0,0.09129553734684104,1.0004721155365564,3190.4642108961107,,hsa_steady_unemployment_gap_baseline_20260623_011916
unemployment_gap,hsa_steady,delta,0.028689575637517128,0.9997184845231739,2585.302863186091,,hsa_steady_unemployment_gap_baseline_20260623_011916
