parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6320593555668355,0.056236653546535204,0.5446740365590562,0.7371212730712728,,,,,
kappa,-0.01865654325562175,0.10503658418689164,-0.1834637510353876,0.168869170093659,,,,,
theta,0.007826676079402895,0.13689913695958797,-0.2892421944550508,0.18184108877799338,,,,,
phi_1,0.6597405806647216,0.04554830681406966,0.5868674635126256,0.7367681164267478,,,,,
rho_1,0.9633906845648099,0.09101057820191709,0.7987318666331323,1.0749752525848828,,,,,
rho_2,-0.008510448884133296,0.09494917356077977,-0.14133004557393655,0.14567098701805573,,,,,
n,-0.03168950678639611,0.02604359250909589,-0.07715787681993258,0.022186627938279323,,,,,
sigma_e,0.6268243431228506,0.03999515807149765,0.5573045517441901,0.7065741252365914,,,,,
sigma_zeta,0.4825714107295962,0.02827860056650314,0.4429659363476232,0.5392404828279608,,,,,
sigma_u,0.2000111237048395,0.01786023716308624,0.16008042992748053,0.22416553883437507,,,,,
sigma_eps,0.20419402846859652,0.01892886707065117,0.17743868928851206,0.23732347084354952,,,,,
sigma_N,0.244571882180381,0.020101915282539518,0.20943626228117174,0.2750241505412016,,,,,
