parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6286305950032528,0.05333716704735706,0.5342106364316824,0.7215208589436213,,,,,
kappa,0.07843572372572423,0.056059007786972995,-0.0027480109405522285,0.1973788179920306,,,,,
theta,0.10228732006466015,0.31863072338347603,-0.2613132457429898,0.6288094084338876,,,,,
phi_1,0.9057738407014485,0.031132181186625845,0.8447132653103842,0.955371433291278,,,,,
rho_1,0.9585016174986544,0.08226581946726289,0.8258395200888915,1.1165838963543913,,,,,
rho_2,-0.011671742748624758,0.08419909795361018,-0.16366605304558818,0.1481268626153715,,,,,
n,-0.028246124763110426,0.015269179298755386,-0.05325936464716773,-0.0068128050019018605,,,,,
sigma_e,0.6064871942464588,0.047979001670830815,0.5282595118945744,0.6877992269847841,,,,,
sigma_zeta,0.5600013289874103,0.036489462345481616,0.5064025403450348,0.629348605004545,,,,,
sigma_u,0.19192773708950606,0.01866774402687509,0.15529877473966325,0.21341250793001276,,,,,
sigma_eps,0.20841452336340693,0.026216179452487103,0.17585260247138348,0.2586350631491031,,,,,
sigma_N,0.24660545989615618,0.025580929717619168,0.21795938660845512,0.30520517622316284,,,,,
