parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6211168035383775,0.05124747504424196,0.5396685658755862,0.6962332420077688,,,,,
kappa_0,-0.01237163097050345,0.0959566746775326,-0.13319946421772144,0.17541760682998714,,,,,
delta,-0.008276885046526752,0.02194687150053469,-0.03904035447456252,0.028959646611253945,,,,,
theta_0,0.3027956600055658,0.18880844084645435,0.016159637885513063,0.6465128121544667,,,,,
gamma,0.0015164375656451401,0.021307150926225454,-0.03870401630999255,0.0364544657332873,,,,,
kappa_t_mean,-0.012587681383780306,0.0961392486459652,-0.1342181270889438,0.17543621417487956,,,,,
kappa_t_start,-0.008584369414998055,0.10207510380100465,-0.1363645690274945,0.18046735382169707,,,,,
kappa_t_mid,-0.027541599570168745,0.10614478169636292,-0.19593853400056674,0.17634683427679948,,,,,
kappa_t_end,0.008467881928374246,0.1093723285347225,-0.16411689888491526,0.18863460112425842,,,,,
theta_t_mean,0.30281864071190584,0.18876516809847166,0.01632689261045856,0.646792953021324,,,,,
theta_t_start,0.30284086313701525,0.19553849513976126,-0.0005911882238713792,0.6550879743687891,,,,,
theta_t_mid,0.306707277040719,0.1806623306932963,0.04713484743049132,0.6667018460861337,,,,,
theta_t_end,0.2983224511879781,0.2161033306523777,-0.03322060308296749,0.6706319204203532,,,,,
phi_1,0.626923779807966,0.06968776866540695,0.5376909695984543,0.757128662120597,,,,,
rho_1,0.7174352231484465,0.1013902706542573,0.5343723162523866,0.9284524320017752,,,,,
rho_2,-0.10700082460672111,0.09506257996442319,-0.2619721817181906,0.05996912197551954,,,,,
n,-0.026243907662013184,0.015630366692641045,-0.05214089154609291,1.861505056821762e-05,,,,,
lambda_ez,-0.0001691782668841249,0.1606742673058717,-0.27982694820448606,0.2252241123629782,,,,,
rho,0.001741574072831581,0.11877822707578621,-0.20374697806809514,0.17817284311799467,,,,,
sigma_e,0.670016002403554,0.05903433916208376,0.5708395770927698,0.7620451515019739,,,,,
sigma_zeta,0.4902080473561129,0.02532238097577435,0.44222139284614975,0.5267798659981056,,,,,
sigma_u,0.25019864669551783,0.01890749150529155,0.21960832717571047,0.28255747973251666,,,,,
sigma_eps,0.28004437874823535,0.022820691083582225,0.24420105925600918,0.3130518062586729,,,,,
