parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6342598875215821,0.06274701185256393,0.5318475627048898,0.7088673482886516,,,,,
kappa_0,0.03590922284497649,0.04095370592263258,-0.05057682353632083,0.09787279755871857,,,,,
delta,-0.028046427000703013,0.019749173566580795,-0.053579785864995726,0.011455070408525099,,,,,
theta_0,0.3181287393693079,0.16460888067928897,-0.00448319380370818,0.6223261475984533,,,,,
gamma,0.0005998601979457929,0.020949927887329828,-0.03838554151572902,0.03487213810853709,,,,,
kappa_t_mean,0.03519542766615713,0.041160083584507165,-0.05150096936676307,0.09800448594026645,,,,,
kappa_t_start,0.04996651432919015,0.036590440551793765,-0.019907252361063634,0.1059181819070641,,,,,
kappa_t_mid,-0.010827796978750515,0.06303214113448694,-0.12338065831348788,0.10134452020550488,,,,,
kappa_t_end,0.11100561664196659,0.04579781329478097,0.022317145688264435,0.16777013210994143,,,,,
theta_t_mean,0.3181298678005639,0.16457005029114746,-0.004318700327645794,0.6225158605632725,,,,,
theta_t_start,0.3185699608640002,0.17089990749143755,-0.015617933328611448,0.6324983169980916,,,,,
theta_t_mid,0.3204494214483635,0.15260615463766675,0.026816557917873414,0.6018046288931194,,,,,
theta_t_end,0.3161825859480335,0.19699870550818757,-0.052512923331196296,0.6609867215176229,,,,,
phi_1,0.8963817106994186,0.03438546893645093,0.8527551750425243,0.9629226688247696,,,,,
rho_1,0.7232267068604596,0.10007190507848472,0.5409416381487897,0.9304416006989603,,,,,
rho_2,-0.10600609147124251,0.09140627172099873,-0.25339663201456386,0.05397248238482024,,,,,
n,-0.026206650704737922,0.015641214127796278,-0.05205970886926464,0.00010080186343342564,,,,,
lambda_ez,-0.01468298703930319,0.1157492561196444,-0.2196801196942796,0.1969708910572316,,,,,
rho,-0.011303741717578707,0.10538501469939511,-0.1988230711415581,0.18625627625112598,,,,,
sigma_e,0.650264120768841,0.058006024072600776,0.5602047095494189,0.7464886686998865,,,,,
sigma_zeta,0.5684949787316859,0.029389397419942113,0.5131410172474848,0.6111472522594928,,,,,
sigma_u,0.2506446019987617,0.018908066169059264,0.22036561189835766,0.28307274976180674,,,,,
sigma_eps,0.2803930415096665,0.022791009700711542,0.24477490879155608,0.31342063347029225,,,,,
