parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6346432759325443,0.05120031252239858,0.5482684141301843,0.6966042142102917,,,,,
kappa_0,0.09171959027140184,0.03464158680004753,0.049775875364437755,0.1552828553679668,,,,,
delta,0.021597623419274948,0.016909796926015734,-0.0120376000979408,0.050522153751253615,,,,,
theta_0,0.11905716031897964,0.19842690852499895,-0.156659601846111,0.508894061020907,,,,,
gamma,0.0016485958114371793,0.02126196527359656,-0.03711191069915344,0.03718387475930634,,,,,
kappa_t_mean,0.09227687026971101,0.03493273590844231,0.05003698365835179,0.15618359800768175,,,,,
kappa_t_start,0.08335430693283065,0.0336878382455103,0.03822027207412762,0.1584516557256969,,,,,
kappa_t_mid,0.12951459060392576,0.05710137969973507,0.039952830749842995,0.2305879858725167,,,,,
kappa_t_end,0.03070494413246786,0.04379885133860972,-0.03911484803545548,0.10167659016664599,,,,,
theta_t_mean,0.11908711959789339,0.1983490023326519,-0.15641363535752625,0.5093005274102002,,,,,
theta_t_start,0.11953719982859164,0.19833858166611573,-0.16733698464974203,0.49960212247259117,,,,,
theta_t_mid,0.1233366205583623,0.19642129587291352,-0.14892595598186864,0.5266734149524519,,,,,
theta_t_end,0.11403792131389331,0.21317812400879205,-0.20883364469772475,0.48169477908229263,,,,,
phi_1,0.9334420236663286,0.028921786507111056,0.8961589752375886,0.9880551586654498,,,,,
rho_1,0.717577113180543,0.09989020733401205,0.5363886065114724,0.9261197242649715,,,,,
rho_2,-0.10892665245468831,0.0940549021722487,-0.26398793755713507,0.05558343799132951,,,,,
n,-0.026540376774313867,0.015600729647486284,-0.05252745830283834,-0.00037252780682473906,,,,,
lambda_ez,0.015966955000070525,0.10806013577356809,-0.17021452041940732,0.21305599324831165,,,,,
rho,0.01502168323119065,0.10018004710305756,-0.14914994119648606,0.20669166971586928,,,,,
sigma_e,0.656216040451024,0.05211955568883378,0.5706009223723079,0.7296184106376966,,,,,
sigma_zeta,0.5865337774649373,0.030514576412721924,0.5292857856783093,0.6316152604065663,,,,,
sigma_u,0.2501840989494439,0.018954178187744218,0.21919875328135152,0.2823561902053192,,,,,
sigma_eps,0.2799243375362953,0.02280022983721867,0.24393478050700865,0.3127385164748013,,,,,
