parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6460903897352865,0.06973182536106788,0.5318205676570512,0.7493255089909019,,,,,
kappa_0,0.0446982009494552,0.13356198590755328,-0.12656171639158026,0.2713306534910178,,,,,
delta,-0.006467317043427748,0.01688381848612541,-0.02753083985996369,0.01853219589865352,,,,,
kappa_t_mean,0.04555476795886647,0.13335858067925213,-0.12635775198545166,0.2724256972991252,,,,,
kappa_t_start,0.04084454412060487,0.1326935190193878,-0.12995250074368364,0.262397307831423,,,,,
kappa_t_mid,0.0351563913971631,0.143889916609906,-0.14952372669893638,0.2704980644084699,,,,,
kappa_t_end,0.06540646633587675,0.13104508758152952,-0.1078166144706292,0.3400508608451457,,,,,
phi_1,0.6720610346267175,0.07681534376661629,0.5222053880766491,0.8117321213967763,,,,,
rho_1,0.7218818943220062,0.1707910921016665,0.38940830433835527,0.9832399795899316,,,,,
rho_2,-0.06053219691706037,0.16823225839730716,-0.38613475656468543,0.18705359371164607,,,,,
n,-0.026142633598348352,0.03279837481218373,-0.08427708495658427,0.026298079834626478,,,,,
lambda_ez,-0.06276219067154495,0.14009019603225847,-0.3423938227069123,0.16561659577126717,,,,,
rho,-0.04752834839247459,0.10681211632098607,-0.2621655694163784,0.1226055573175703,,,,,
sigma_eta,0.6648893603086463,0.03246219738378673,0.6083294217284302,0.7196078386300894,,,,,
sigma_e,0.6694029065217694,0.03315065014517865,0.6109110845361496,0.7205022306009445,,,,,
sigma_zeta,0.5011904825583856,0.03883659980376234,0.4355448677342376,0.5736197208417324,,,,,
sigma_u,0.3084696698684961,0.032729980591369036,0.263388720010194,0.3687138696765386,,,,,
sigma_eps,0.3293004498578669,0.02172842776517182,0.3002252585171338,0.3679580481368849,,,,,
sigma_N,0.2955864565064824,0.03198182366256425,0.24904986654129257,0.3538777256549802,,,,,
