parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6099110879442536,0.06421092400482468,0.4715534811739217,0.7043550821801029,,,,,
kappa_0,0.046226526580100034,0.07689319752459615,-0.06167060083149436,0.16648641036148099,,,,,
delta,-0.00017689089107526525,0.009401233817201765,-0.0143491829800964,0.017143302778135423,,,,,
kappa_t_mean,0.04635062645306355,0.07684819738058889,-0.061727346588529554,0.16635681678131148,,,,,
kappa_t_start,0.04618316152226391,0.07770063250539906,-0.06503697191796635,0.1660245879565734,,,,,
kappa_t_mid,0.04665018534855415,0.07916336170110165,-0.05809213774674731,0.16308553554585084,,,,,
kappa_t_end,0.04715445783823498,0.07953577701479325,-0.08243353017388617,0.17595431209120568,,,,,
phi_1,0.6999924478385979,0.06495140765232657,0.5847701232506125,0.8014887967252918,,,,,
rho_1,0.534445438317895,0.09821417260019004,0.31681081085787716,0.6322395828261359,,,,,
rho_2,-0.34164206221652166,0.09625419388329523,-0.5215649799591614,-0.1561721713294367,,,,,
n,-0.017080671319309532,0.02482010689472026,-0.06748701040322136,0.021040783175014077,,,,,
lambda_ez,-0.0398942032139374,0.15708697895656984,-0.3162088354363951,0.1873734773569421,,,,,
rho,-0.0320775221800118,0.11754226083946627,-0.2433901285380252,0.13268846194997305,,,,,
sigma_eta,0.6741962910503752,0.05099510471405737,0.6030753436737867,0.7657026439997323,,,,,
sigma_e,0.6791528186473641,0.052497076217451664,0.6079810636409666,0.7725374806201767,,,,,
sigma_zeta,0.5100061667620929,0.031174244459593117,0.45574369519341273,0.5646712074240281,,,,,
sigma_u,0.41589925628292174,0.03805675835099517,0.3684746842039075,0.4830799269467642,,,,,
sigma_eps,0.4522282187762324,0.037674272504905,0.3905730706252304,0.5205334507776964,,,,,
sigma_N,0.40502844834444796,0.030812332551134695,0.35939446369374856,0.46178321244747533,,,,,
