parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6225261411899832,0.04926525615957005,0.5299216272164965,0.6829307571494713,,,,,
kappa_0,-0.033619039310977844,0.12235703174392783,-0.20893285531488787,0.17420610348165289,,,,,
delta,-0.008903703098363098,0.0653761051442408,-0.11948442693643224,0.10342461259355887,,,,,
kappa_t_mean,-0.04268133976600967,0.10494290256998424,-0.1943414908524004,0.10868152200219494,,,,,
kappa_t_start,-0.06505786725654715,0.14534314173871243,-0.37128798298252924,0.12770285405603798,,,,,
kappa_t_mid,-0.051384614166331076,0.1461504052274046,-0.3409511159053092,0.13513061195149514,,,,,
kappa_t_end,-0.006449107792333127,0.18185689888467313,-0.3632999145955408,0.2814276676108453,,,,,
phi_1,0.6373807462549983,0.07453459649709421,0.5034454348985555,0.7661906017096931,,,,,
rho_1,0.7604483683841217,0.23450920379233917,0.3668480541292337,1.098076253564215,,,,,
rho_2,0.13526944262479584,0.19122228459902108,-0.1318603393993722,0.47783699011787,,,,,
n,-0.023714122072685504,0.02733349938999008,-0.0650269219840959,0.026995995349322767,,,,,
lambda_ez,0.019235242094993964,0.14888749571677837,-0.19326918158864867,0.2897396498451714,,,,,
rho,0.016551762384404627,0.11551181591314359,-0.1651050121481445,0.222954261701133,,,,,
sigma_eta,0.6548179795745463,0.04834694174040206,0.5758718247565017,0.742971096429287,,,,,
sigma_e,0.6590599294336578,0.04749210426541154,0.5827962674484168,0.7452460960136793,,,,,
sigma_zeta,0.5073676793367474,0.035112417817640594,0.45270982732491205,0.5719881463988696,,,,,
sigma_u,0.236448293947011,0.01841763023313196,0.2052422241203428,0.27047754837717086,,,,,
sigma_eps,0.2472851560534702,0.026657366238534288,0.20889119406288642,0.2948624332455428,,,,,
sigma_N,0.2195334004336092,0.024069757292813385,0.18053534436642832,0.2670333141842464,,,,,
