parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6321846902838162,0.06977458903204992,0.48665912628114616,0.7374797875237308,,,,,
kappa_0,0.05297788271416552,0.044779405936810006,-0.019319099346269755,0.12278603422335369,,,,,
delta,-0.008658666600581308,0.009108153208265118,-0.02379654637663098,0.006012588734480133,,,,,
kappa_t_mean,0.05325198848251715,0.04451525775013286,-0.018836175224344186,0.12279236141753302,,,,,
kappa_t_start,0.05826921618841886,0.04546585043403725,-0.013420437489536976,0.1303409597501943,,,,,
kappa_t_mid,0.03828605270306144,0.050119054580733735,-0.03738988587136852,0.11451577303081595,,,,,
kappa_t_end,0.0746933615532401,0.043843005304512676,-0.0007728990592635824,0.14761649612518485,,,,,
phi_1,0.912736683278184,0.033579225388545623,0.8584845344695994,0.9651748176190634,,,,,
rho_1,0.5109805591763268,0.10885727405268679,0.27310554023861605,0.6562104157635953,,,,,
rho_2,-0.35125187504708794,0.09396693925473167,-0.5173505721134983,-0.20425813473293683,,,,,
n,-0.01748703925103769,0.02515357205919345,-0.06944917824911855,0.021313366269410917,,,,,
lambda_ez,-0.01845210760194887,0.11289164748441625,-0.18894611581448384,0.2290198164354916,,,,,
rho,-0.01919967003986279,0.09871942478872836,-0.1728006447819417,0.19272557281702835,,,,,
sigma_eta,0.6663589327443569,0.049890783043204205,0.596684512529732,0.7595819018236746,,,,,
sigma_e,0.6696911926043116,0.05121085103391484,0.5999667851833238,0.7688186807157,,,,,
sigma_zeta,0.5905271845653255,0.037062469144431905,0.530069906970226,0.6571055308393371,,,,,
sigma_u,0.41347092952182846,0.03743050146823127,0.3654686615438224,0.4847735706730487,,,,,
sigma_eps,0.4579825806508241,0.03581092728714493,0.40213931315751905,0.5369566576520794,,,,,
sigma_N,0.40170210476445173,0.03333544788890688,0.3537022825073226,0.4616338582000043,,,,,
