parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6466486838382278,0.06549543368282129,0.5518700661467183,0.7810147209202482,,,,,
kappa_0,0.08484063281588253,0.08217271935843572,-0.04489638734690761,0.23961868567707553,,,,,
delta,-0.08424866894763894,0.06313768329780431,-0.22551113723188293,-0.00032482505471913455,,,,,
kappa_t_mean,0.024926474885230764,0.060843692424385,-0.06470882556378717,0.1331526712178985,,,,,
kappa_t_start,0.029293489168669196,0.09592870794248552,-0.1426102968015307,0.17320933750288983,,,,,
kappa_t_mid,-0.08059711174892126,0.13084858511466255,-0.28061581880523867,0.13510328401623156,,,,,
kappa_t_end,0.19075400912524337,0.07821606634664824,0.0748650898835604,0.3231510474626407,,,,,
phi_1,0.903589983884374,0.026331504727784304,0.8553660049482554,0.9481732582704222,,,,,
rho_1,0.853267622652903,0.1962306120176617,0.46853009841240234,1.1542808454245874,,,,,
rho_2,0.08908458604843096,0.1785298477773826,-0.19338524085460113,0.4442939106976952,,,,,
n,-0.015885023689135677,0.02033695905783596,-0.05571398206184935,0.013706281694239743,,,,,
lambda_ez,-0.02734066865267676,0.1040583085599994,-0.2059970728326943,0.1744069000031092,,,,,
rho,-0.025593683377090885,0.08704580527188935,-0.1644158785606417,0.13900548985516592,,,,,
sigma_eta,0.6467438705128186,0.04087074415048672,0.5848478492146916,0.7105564926169083,,,,,
sigma_e,0.6492760608469458,0.04042652938966494,0.5882439976686702,0.7106467878281838,,,,,
sigma_zeta,0.5719127162153159,0.035983154424234914,0.5047233904415418,0.6240241019483099,,,,,
sigma_u,0.24524778447132806,0.022689245613048376,0.2114747192758776,0.28401779223276824,,,,,
sigma_eps,0.24680007669098059,0.019114289250013843,0.22355736994081143,0.2828655898082592,,,,,
sigma_N,0.20724067966207654,0.01642435402744614,0.18115479946991345,0.23610667074935193,,,,,
