parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6170337691704318,0.06316574505187982,0.47891722791069186,0.7130194683725695,,,,,
kappa_0,0.07171683105604174,0.031424850424137125,0.020386686227578693,0.12105556312433804,,,,,
delta,0.00978905166187443,0.009008071366566617,-0.0035138296316511975,0.026071089766230772,,,,,
kappa_t_mean,0.07201284298713505,0.031598225048826284,0.020167611583716185,0.12126792056856202,,,,,
kappa_t_start,0.0673464048484155,0.033476503767482804,0.013961865921056622,0.1250273439398022,,,,,
kappa_t_mid,0.08898038224618639,0.04192185378127937,0.028032958239066735,0.15929008383506826,,,,,
kappa_t_end,0.04766537870933404,0.029243793955430683,-0.010695256786328381,0.09118377413948762,,,,,
phi_1,0.9472171028367304,0.02918780889988971,0.8988516214861056,0.9921706119658199,,,,,
rho_1,0.514202821623557,0.08547354695563714,0.34099554663687004,0.6497953551617662,,,,,
rho_2,-0.34870862425807764,0.09930682112196403,-0.5422062425351146,-0.16834753453100143,,,,,
n,-0.015551947811786265,0.023632851670239208,-0.06488836763563421,0.01729536228983428,,,,,
lambda_ez,0.030857732910267166,0.1183959153328003,-0.17705728308324145,0.2521819670108989,,,,,
rho,0.02476323234065384,0.10653416206973511,-0.17327082188423393,0.2186051754210601,,,,,
sigma_eta,0.6592723011747874,0.05101215484603472,0.58811711279225,0.7543150341584814,,,,,
sigma_e,0.6632547852534604,0.05344885334735402,0.5887848774934432,0.7686187929862504,,,,,
sigma_zeta,0.6093813746421243,0.03846294465585468,0.5471723092542254,0.6793509938653558,,,,,
sigma_u,0.41425731331287574,0.03895212775907435,0.3621283937543355,0.48437036214362394,,,,,
sigma_eps,0.4564746956091777,0.044011271418819296,0.3892695851516513,0.547789162556467,,,,,
sigma_N,0.4050659146850541,0.027710874477855384,0.3672736903351216,0.4563932016870138,,,,,
