parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6482797766940153,0.05547179185870965,0.5661035550395387,0.7566794289152079,,,,,
kappa_0,0.1199711868302018,0.04070836650295012,0.0615892704135082,0.19478059367020428,,,,,
delta,0.08034708132729021,0.0376033984353809,0.03960808848909468,0.15947538787720972,,,,,
kappa_t_mean,0.12704185650092994,0.030984519227296323,0.05762729538194579,0.16367612127704148,,,,,
kappa_t_start,0.16797548919625166,0.04297934439825729,0.09609949354026356,0.24506726860265476,,,,,
kappa_t_mid,0.19926906672899006,0.07210091702577703,0.05794479733401559,0.3145655815616891,,,,,
kappa_t_end,-0.028830100951157112,0.04586713100966815,-0.1024435230150385,0.05112011876004355,,,,,
phi_1,0.9520248373959017,0.0201558600032814,0.924371018508166,0.9872033502594899,,,,,
rho_1,0.885837506908597,0.19595608431616116,0.5197270596077362,1.2306868727853688,,,,,
rho_2,0.06678503198668961,0.18070300683072904,-0.25731156435881086,0.39240776914501896,,,,,
n,-0.012164174497553104,0.03879742093986073,-0.07970820904600334,0.051441184410239704,,,,,
lambda_ez,0.0011033961419466408,0.1038835579064155,-0.17334701496209956,0.15904492858352112,,,,,
rho,0.0005342371602774799,0.09867076713186157,-0.16058088435632092,0.15370496508431686,,,,,
sigma_eta,0.6195976939470377,0.03688687370947947,0.5709123029581683,0.7032610698310144,,,,,
sigma_e,0.6225178888258651,0.03739741478274855,0.5714392121449994,0.7060695852536779,,,,,
sigma_zeta,0.604716429650394,0.036251699372363964,0.5398829442665664,0.6649415427667663,,,,,
sigma_u,0.23658225820285717,0.022028917266903994,0.19815668653435148,0.2715928893684427,,,,,
sigma_eps,0.252043740449314,0.0326038470908055,0.21209930337158003,0.3257255314619849,,,,,
sigma_N,0.21243105515282465,0.018477813611070804,0.19241938581984422,0.25167696928180855,,,,,
