run,model,data_spec,prior_spec,constraint_spec,n_transform,log_marginal_likelihood,bayes_factor_vs_baseline,sddr_delta_bf01,sddr_theta_bf01,sddr_theta0_bf01,sddr_gamma_bf01,predictive_score,posterior_predictive_rmse,notes,log_likelihood,log_prior,log_posterior_ordinate,n_draws,method
ces_inv_markup_baseline_20260623_002000,ces,inv_markup,baseline,unrestricted,log100_centered10,-225.9343773443777,1.0,,,,,-121.93499974468017,0.6457309133921478,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-210.48241677767373,-4.72229727339074,10.729663293313218,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_inv_markup_baseline_restricted_kappa_20260622_234855,ces,inv_markup,baseline,restricted_kappa,log100_centered10,-226.17352884719838,0.7872955958333184,,,,,-122.67156628410174,0.6497979441158802,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-210.86626326573227,-4.610143118869049,10.697122462597052,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_labor_share_gap_hp_baseline_20260623_110156,ces,labor_share_gap_hp,baseline,unrestricted,log100_centered10,-295.18541763706213,8.407276577849054e-31,,,,,-121.92866155510299,0.6455264124677725,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-278.8126068570215,-5.902245076482106,10.4705657035585,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_labor_share_gap_hp_baseline_restricted_kappa_20260623_112156,ces,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,-295.5720825250668,5.711220234361889e-31,,,,,-122.77633001211098,0.6502911135121833,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-279.3480344917502,-5.7342585488621625,10.489789484454416,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_output_gap_bn_baseline_20260623_004943,ces,output_gap_bn,baseline,unrestricted,log100_centered10,-245.35466106076927,3.6802552844705724e-09,,,,,-120.75332068962132,0.6396136117857288,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-227.5367874610233,-5.63860750391478,12.179266095831206,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_output_gap_bn_baseline_restricted_kappa_20260622_235858,ces,output_gap_bn,baseline,restricted_kappa,log100_centered10,-245.3581319517978,3.667503661968789e-09,,,,,-120.77326209299216,0.639689093390649,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-227.55023702726953,-5.644570559836157,12.163324364692109,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_output_gap_hp_baseline_20260623_105152,ces,output_gap_hp,baseline,unrestricted,log100_centered10,-239.31209780961188,1.5492796682201954e-06,,,,,-114.07711959150456,0.6058639291170322,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-221.27845731758634,-5.799095839425753,12.234544652599789,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_output_gap_hp_baseline_restricted_kappa_20260623_111200,ces,output_gap_hp,baseline,restricted_kappa,log100_centered10,-239.3092985589871,1.553622565893084e-06,,,,,-114.08099878986312,0.6057578463906766,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-221.29880761163037,-5.795214092156378,12.21527685520035,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_unemployment_gap_baseline_20260623_011912,ces,unemployment_gap,baseline,unrestricted,log100_centered10,-249.01427723030648,9.473857251619984e-11,,,,,-119.94133010620536,0.6354323778954629,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-230.4815927669841,-5.828862005139549,12.703822458182817,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_unemployment_gap_baseline_restricted_kappa_20260623_000856,ces,unemployment_gap,baseline,restricted_kappa,log100_centered10,-249.02235603548286,9.397628139292854e-11,,,,,-119.9343529501266,0.6354201827223105,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-230.48551694846267,-5.816270153996897,12.720568933023284,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_inv_markup_baseline_20260623_003021,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,-281.38051022258156,8.318603953031224e-25,,0.34599606326784715,,,-121.56017322792611,0.6440094154526472,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-180.9212838544289,-86.84393929373213,13.615287074420495,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_inv_markup_baseline_restricted_kappa_20260622_235225,hsa_dynamic,inv_markup,baseline,restricted_kappa,log100_centered10,-281.1326137582188,1.065885402922493e-24,,0.3530719773985942,,,-122.90434605187119,0.6505340432322225,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-182.178671734582,-86.15284928789211,12.801092735744632,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_labor_share_gap_hp_baseline_20260623_110526,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,log100_centered10,-350.32961009671425,9.45881737784256e-55,,0.3407812268642139,,,-121.61141054491672,0.644541426726598,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-249.60128595094426,-87.60679529158641,13.121528854183548,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_labor_share_gap_hp_baseline_restricted_kappa_20260623_112522,hsa_dynamic,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,-351.3475157488641,3.417952577263067e-55,,0.30112760149046003,,,-121.05862562347865,0.6418082711191518,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-248.26885859657037,-88.49269663618837,14.58596051610541,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_output_gap_bn_baseline_20260623_010000,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,-300.1845888977298,5.66947496933565e-33,,0.23523570377906428,,,-121.9814599770811,0.6441014320736506,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-200.2957076176699,-84.64218580771251,15.246695472347342,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_output_gap_bn_baseline_restricted_kappa_20260623_000227,hsa_dynamic,output_gap_bn,baseline,restricted_kappa,log100_centered10,-299.80818772290013,8.260603850771436e-33,,0.19348469198109444,,,-120.13608238247882,0.6353933535379138,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-199.15171180248706,-84.33791345504318,16.31856246536989,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_output_gap_hp_baseline_20260623_105525,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,-295.2839034559665,7.6187458628613935e-31,,0.6200490677684866,,,-111.62913793336524,0.5952574646390211,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-194.48744062362772,-85.28046445107572,15.515998381263069,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_output_gap_hp_baseline_restricted_kappa_20260623_111531,hsa_dynamic,output_gap_hp,baseline,restricted_kappa,log100_centered10,-295.40791453332645,6.7301719551103055e-31,,0.6846885057307608,,,-112.35973710239861,0.5987375090138224,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-194.0659754298962,-85.78700486729873,15.554934236131503,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_unemployment_gap_baseline_20260623_012932,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,-303.75643293781627,1.5933481681702118e-34,,0.25009472114669273,,,-114.16596155740287,0.607565614839759,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-201.7994073630947,-84.39351987378527,17.56350570093627,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_unemployment_gap_baseline_restricted_kappa_20260623_001225,hsa_dynamic,unemployment_gap,baseline,restricted_kappa,log100_centered10,-303.6179704502699,1.829970883196816e-34,,0.2588746137983082,,,-114.31486052077419,0.6082747586593327,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib uses legacy prior ordinates and should be checked before publication.,-201.30135027397017,-85.02428476193201,17.292335414367738,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_full_inv_markup_baseline_20260623_004058,hsa_full,inv_markup,baseline,unrestricted,log100_centered10,-125.88090529087228,2.8357687225466533e+43,0.9923413446986392,,0.45489937623401727,0.9570727022414801,-121.69841938602474,0.6456318604265144,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib uses legacy prior ordinates and should be checked before publication.,-121.72472514253494,2.4494397986922833,6.605619947029627,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_inv_markup_baseline_restricted_kappa_20260622_235601,hsa_full,inv_markup,baseline,restricted_kappa,log100_centered10,-125.88090529087228,2.8357687225466533e+43,0.9923413446986392,,0.45489937623401727,0.9570727022414801,-121.69841938602474,0.6456318604265144,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib uses legacy prior ordinates and should be checked before publication.,-121.72472514253494,2.4494397986922833,6.605619947029627,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_labor_share_gap_hp_baseline_20260623_110901,hsa_full,labor_share_gap_hp,baseline,unrestricted,log100_centered10,-120.10628736982932,9.131781393027323e+45,0.9374893354402805,,0.059368560757587764,0.9030536890217787,-111.74148622813942,0.5927153353852102,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib uses legacy prior ordinates and should be checked before publication.,-111.83625957161965,2.146511866673741,10.416539664883409,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_labor_share_gap_hp_baseline_restricted_kappa_20260623_112854,hsa_full,labor_share_gap_hp,baseline,restricted_kappa,log100_centered10,-120.10628736982932,9.131781393027323e+45,0.9374893354402805,,0.059368560757587764,0.9030536890217787,-111.74148622813942,0.5927153353852102,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib uses legacy prior ordinates and should be checked before publication.,-111.83625957161965,2.146511866673741,10.416539664883409,3200,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
