run,model,data_spec,prior_spec,constraint_spec,n_transform,log_marginal_likelihood,bayes_factor_vs_baseline,sddr_delta_bf01,sddr_theta_bf01,sddr_theta0_bf01,sddr_gamma_bf01,predictive_score,posterior_predictive_rmse,notes,log_likelihood,log_prior,log_posterior_ordinate,n_draws,method
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,log100_centered10,-249.01427723030648,1.0,,,,,-119.94133010620536,0.6354323778954629,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-230.4815927669841,-5.828862005139549,12.703822458182817,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_unemployment_gap_baseline_restricted_kappa_20260623_000856,ces,unemployment_gap,baseline,restricted_kappa,log100_centered10,-249.02235603548286,0.9919537406673405,,,,,-119.9343529501266,0.6354201827223105,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-230.48551694846267,-5.816270153996897,12.720568933023284,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_114853,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,,,,0.7413519489391064,,,-118.755243469728,0.6304179381294477,"SDDR uses run-specific saved priors and physical-unit posterior draws. Chib unavailable: all the input array dimensions except for the concatenation axis must match exactly, but along dimension 0, the array at index 0 has size 124 and the array at index 2 has size 128",,,,,
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_200248,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,1196.8303651705867,inf,,2.1187197061546357,,,-119.78539241312481,0.6354126068065878,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-209.4706633309483,5.895704110838223,-1400.4053243906967,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_unemployment_gap_baseline_restricted_kappa_20260623_001225,hsa_dynamic,unemployment_gap,baseline,restricted_kappa,log100_centered10,-378.1122100430563,8.57985906960321e-57,,0.2588746137983082,,,-114.31486052077419,0.6082747586593327,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-250.4892265636588,-105.45335722409577,22.16962625530171,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_full_unemployment_gap_baseline_annual_q4_20260702_115649,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,-124.71687562707034,9.586843354079666e+53,0.13626033554227374,,2.3285081452054985,0.9719315294959988,-115.78759581588969,0.6146639518772182,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-115.8373427697877,5.891467614698474,14.771000471981107,3200.0,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,-124.71451043913568,9.609544876412637e+53,0.12227972224557399,,2.2958514981282634,1.0760512034473793,-115.94286227056077,0.614705046000707,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-115.99156077370552,5.885534957554548,14.608484622984719,3200.0,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_full_unemployment_gap_baseline_restricted_kappa_20260623_001557,hsa_full,unemployment_gap,baseline,restricted_kappa,log100_centered10,-122.47368123004297,9.034051867528519e+54,0.5267855176452522,,1.3569698994699189,0.8911079771789792,-115.90131365544943,0.6157165790886202,SDDR uses run-specific saved priors and physical-unit posterior draws. HSA full Chib is conditional on posterior mean latent states because the full observation equation is nonlinear in Nhat and Nbar. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-117.14186844934599,6.570839621146952,11.902652401843927,3200.0,"Conditional Chib 1995 for HSA full inflation equation, conditioned on posterior mean latent states"
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_114922,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,,,0.09779904927022044,,,,-115.29315182520118,0.6123484934911794,"SDDR uses run-specific saved priors and physical-unit posterior draws. Chib unavailable: operands could not be broadcast together with shapes (124,) (128,) ",,,,,
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_195929,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,1131.6089726344428,inf,0.08495844233630107,,,,-115.53522183870575,0.6128014551357804,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-217.91103152029393,5.970313416733807,-1343.549690738003,3200.0,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
