data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,mean,ci_2.5,ci_97.5
inv_markup,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6394935081011621,0.5380375299616754,0.7420861047012839
inv_markup,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.006727227891079419,-0.2170562420467619,0.22833437198069473
inv_markup,ces,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.6919360573096054,0.5807248945995253,0.7978619854000061
inv_markup,ces,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa,-0.019790700395393608,-0.21644665710434052,0.17847176627594052
inv_markup,ces,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.5680463467336565,0.3216123139435793,0.8071847099604004
inv_markup,ces,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa,0.12159048258784923,-0.23992172859312483,0.48061408865950545
inv_markup,ces,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.6377181229576433,0.5309906622550574,0.7407558293725667
inv_markup,ces,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa,0.010507062320926583,-0.2120079579435999,0.23425157301053817
inv_markup,ces,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.6218897173886379,0.4971055104636659,0.741619712120775
inv_markup,ces,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa,0.012395634846036088,-0.23157103155032305,0.2676358774185647
inv_markup,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6394836519106245,0.5369458091791892,0.7397937248405769
inv_markup,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa,0.009499559481792976,-0.21655429377922714,0.23108004367768442
