data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,mean,ci_2.5,ci_97.5
inv_markup,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6149887157508009,0.5038438268234352,0.7198519334198948
inv_markup,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.011536568494128279,-0.21740008220952822,0.2396860752338457
inv_markup,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,theta,-0.022464662695022664,-0.35889275588246966,0.5774586748401236
inv_markup,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.6130469355449661,0.483924685521712,0.7455370005900418
inv_markup,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa,0.036152442755041446,-0.1768058710905903,0.24999987952598096
inv_markup,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,theta,0.3459390281567224,-0.3403305826557396,0.7561522542514338
inv_markup,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.5747095836521241,0.3472549836066016,0.7931247962912611
inv_markup,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa,0.1915990358099478,-0.1800912815040558,0.5619266449217035
inv_markup,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,theta,0.1643783066755394,-0.31638521988084095,0.6373557287310482
inv_markup,hsa_dynamic,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.6173442164307439,0.5056185153775631,0.7207889279375401
inv_markup,hsa_dynamic,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa,0.00926076168591941,-0.22041024519482982,0.24726665796550895
inv_markup,hsa_dynamic,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,theta,-0.022408764364529942,-0.36810455158543376,0.5725475230816147
inv_markup,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.6121087102451348,0.4940629590778265,0.7240857527988313
inv_markup,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa,0.019677379235863504,-0.22482703210161453,0.2730098376113282
inv_markup,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,theta,0.1448668869979603,-0.24710376844916362,0.5250489654641123
inv_markup,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6167168664469436,0.50538690941778,0.7194393587123901
inv_markup,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa,0.008018322082786682,-0.22374595144011272,0.23717762650389004
inv_markup,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,theta,-0.03889028430479788,-0.3544256194627486,0.5649071508245689
