data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,mean,ci_2.5,ci_97.5
inv_markup,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6023888978615318,0.4853576576948906,0.7182984544617472
inv_markup,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa_0,0.03570528601637563,-0.20969088778752573,0.28277763200616796
inv_markup,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,delta,-0.001961079843739374,-0.040059763899525896,0.03587442892895248
inv_markup,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,theta_0,0.05644121833999453,-0.3799268810511279,0.4719614353299176
inv_markup,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,gamma,-0.006052334325692786,-0.04575219016220886,0.03229695448879136
inv_markup,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.5897415074735743,0.4585585999087115,0.7200512517207899
inv_markup,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa_0,0.07044186767424103,-0.14299050260019674,0.2814563592526693
inv_markup,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,delta,-0.004036002692239526,-0.04180948558964602,0.03391498768454578
inv_markup,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,theta_0,0.35634899520605645,0.1484928504804178,0.6060861047563243
inv_markup,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,gamma,-0.0033057674869601036,-0.04182734735325813,0.03346967642764538
inv_markup,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.5707637950046386,0.3301055267187355,0.803038906814814
inv_markup,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa_0,0.12419644943388196,-0.21549829233265919,0.48115148469930324
inv_markup,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,delta,0.0004738015947690251,-0.03812634651825451,0.041262992187919026
inv_markup,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,theta_0,0.10022832836687494,-0.316174038410658,0.5034842878444227
inv_markup,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,gamma,-0.00023961311924117185,-0.03861410320169213,0.03871617253161505
inv_markup,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.575946188809833,0.46352704547344104,0.6892668500188397
inv_markup,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa_0,0.07532560042356244,-0.15802544851238295,0.31865042456030623
inv_markup,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,delta,-0.003588844804783095,-0.0418363957611038,0.034498932555993796
inv_markup,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,theta_0,0.3157768545013977,0.10316728269517772,0.5876930949908464
inv_markup,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,gamma,-0.003674679664679028,-0.039991548266633606,0.033745673300398855
inv_markup,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.5803953570947408,0.4470344961464566,0.7151451371734926
inv_markup,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa_0,0.05851885690608803,-0.19889569598618023,0.31875430999876325
inv_markup,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,delta,-0.0005782063883245328,-0.03801109217452922,0.036713625009628284
inv_markup,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,theta_0,0.15659476150056556,-0.11507010919963014,0.42327225828647286
inv_markup,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,gamma,-0.000790784393742979,-0.040430556831061996,0.03740874221413116
inv_markup,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6276719865412131,0.5239333566336978,0.7304809844196463
inv_markup,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa_0,0.007191324067289549,-0.21896029677815165,0.2263855133686165
inv_markup,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,delta,-0.0029709584021923095,-0.039467395678200026,0.032650763641991876
inv_markup,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,theta_0,-0.1648839086962095,-0.39079775881278944,0.04289267507360607
inv_markup,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,gamma,-0.00401339725961226,-0.041447080765806124,0.034853631675102255
