data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,mean,ci_2.5,ci_97.5
inv_markup,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6394935081011621,0.5380375299616754,0.7420861047012839
inv_markup,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.006727227891079419,-0.2170562420467619,0.22833437198069473
inv_markup,ces,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.6919360573096054,0.5807248945995253,0.7978619854000061
inv_markup,ces,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa,-0.019790700395393608,-0.21644665710434052,0.17847176627594052
inv_markup,ces,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.5680463467336565,0.3216123139435793,0.8071847099604004
inv_markup,ces,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa,0.12159048258784923,-0.23992172859312483,0.48061408865950545
inv_markup,ces,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.6377181229576433,0.5309906622550574,0.7407558293725667
inv_markup,ces,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa,0.010507062320926583,-0.2120079579435999,0.23425157301053817
inv_markup,ces,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.6218897173886379,0.4971055104636659,0.741619712120775
inv_markup,ces,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa,0.012395634846036088,-0.23157103155032305,0.2676358774185647
inv_markup,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6394836519106245,0.5369458091791892,0.7397937248405769
inv_markup,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa,0.009499559481792976,-0.21655429377922714,0.23108004367768442
inv_markup,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6389539664487901,0.5361709656869622,0.7415473689685155
inv_markup,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa_0,0.01013161502826852,-0.21708973546943536,0.24079387354754123
inv_markup,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,delta,-0.00312055868067384,-0.03967079794375448,0.03350887635312638
inv_markup,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.6926643443070839,0.5801330232354016,0.7994203759826154
inv_markup,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa_0,-0.018080296029094313,-0.21793373708357391,0.1863263845091129
inv_markup,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,delta,-0.00227030449683085,-0.04081355676739058,0.03507242845465487
inv_markup,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.5754766250612099,0.3315891394621748,0.8190850426179409
inv_markup,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa_0,0.11765970612881198,-0.23709466054063322,0.4673192487589959
inv_markup,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,delta,-4.948460211951073e-05,-0.04051801092333048,0.04057597086383264
inv_markup,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.6380862368813008,0.5339776933769335,0.7395658503717004
inv_markup,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa_0,0.0081002770170227,-0.22052749298649432,0.2356595217226337
inv_markup,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,delta,-0.0024394546155218984,-0.0389285731381087,0.03431703508513342
inv_markup,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.6211336158179701,0.5012798060300864,0.7391071851130184
inv_markup,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa_0,0.012052986516780061,-0.23434033247759284,0.2723894775630519
inv_markup,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,delta,-0.0005622796397924917,-0.03914891607296586,0.035955150781224854
inv_markup,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6389894599208386,0.5365296512832165,0.7444243772934368
inv_markup,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa_0,0.011148667016691293,-0.21571608390287483,0.23833705354975943
inv_markup,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,delta,-0.002603552317650575,-0.03986011746750945,0.03513252286437564
inv_markup,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6149887157508009,0.5038438268234352,0.7198519334198948
inv_markup,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.011536568494128279,-0.21740008220952822,0.2396860752338457
inv_markup,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,theta,-0.022464662695022664,-0.35889275588246966,0.5774586748401236
inv_markup,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.6130469355449661,0.483924685521712,0.7455370005900418
inv_markup,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa,0.036152442755041446,-0.1768058710905903,0.24999987952598096
inv_markup,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,theta,0.3459390281567224,-0.3403305826557396,0.7561522542514338
inv_markup,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.5747095836521241,0.3472549836066016,0.7931247962912611
inv_markup,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa,0.1915990358099478,-0.1800912815040558,0.5619266449217035
inv_markup,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,theta,0.1643783066755394,-0.31638521988084095,0.6373557287310482
