data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,mean,ci_2.5,ci_97.5
output_gap_bn,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6722478848512294,0.5563615810472459,0.7846385609308255
output_gap_bn,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.05862516366126078,-0.024998506197154782,0.14404070449646755
output_gap_bn,ces,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.7081917059495632,0.570563435643817,0.8421745394773531
output_gap_bn,ces,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa,0.050259889375578265,-0.04157448083202693,0.14192143651847552
output_gap_bn,ces,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.5342727105039937,0.287655561150255,0.7757493558233808
output_gap_bn,ces,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa,0.17069103534370103,-0.04975121302829965,0.383900490865745
output_gap_bn,ces,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.6709183658040536,0.5519197846985222,0.7870554140122871
output_gap_bn,ces,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa,0.060043410752758604,-0.02471014695604393,0.14347596335895582
output_gap_bn,ces,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.641236218765397,0.5149684209635341,0.7744706368030846
output_gap_bn,ces,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa,0.08342330284110848,-0.016133170490845325,0.18597653545997175
output_gap_bn,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6723515602936763,0.5544897577928992,0.7851650857999531
output_gap_bn,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa,0.059095515694493755,-0.023746096326356388,0.1417853705469095
