data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,mean,ci_2.5,ci_97.5
output_gap_bn,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6573260709157008,0.5411978541143744,0.7708134422426827
output_gap_bn,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa_0,0.046057446759024415,-0.042789265425805086,0.13260862161689352
output_gap_bn,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,delta,-0.022908768926576978,-0.055927463340132724,0.010493189847907697
output_gap_bn,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.7056941317282386,0.5727531394872775,0.8383771815194703
output_gap_bn,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa_0,0.0448511051998251,-0.053831522444969866,0.14189226271322797
output_gap_bn,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,delta,-0.018831286057200084,-0.05699936133472606,0.020611379816980305
output_gap_bn,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.5378067862861199,0.2990185774957964,0.7757736425664487
output_gap_bn,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa_0,0.16691449256102459,-0.05384185146480449,0.3775635193010906
output_gap_bn,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,delta,0.000822130308157035,-0.039766374987950555,0.03986413929044868
output_gap_bn,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.6587658616519314,0.5418272191572888,0.7784669334429829
output_gap_bn,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa_0,0.04718789244380874,-0.0454330479935005,0.13795431176752118
output_gap_bn,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,delta,-0.022978581488251812,-0.056148191766420816,0.011025754377807192
output_gap_bn,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.6306480999710493,0.5030852902721816,0.7556903798718949
output_gap_bn,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa_0,0.06791397034460218,-0.038156927605347564,0.17208826644650532
output_gap_bn,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,delta,-0.01835828101884158,-0.050999099342387694,0.015683599893860884
output_gap_bn,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6603531313031235,0.5448895971584045,0.7740180214849319
output_gap_bn,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa_0,0.04755836044431671,-0.044461678393135674,0.13877793150569023
output_gap_bn,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,delta,-0.022753967890841907,-0.05608297471311787,0.010207486724824626
