data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,mean,ci_2.5,ci_97.5
output_gap_bn_core,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.7691954145025506,0.6776751164241884,0.8599562251358887
output_gap_bn_core,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.03550423729662538,-0.009908209433603744,0.0812635048093261
output_gap_bn_core,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,theta,-0.03952143318638109,-0.08655158886134079,0.009377433251600675
output_gap_bn_core,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.7712964650299431,0.6578351056332928,0.8829341987501258
output_gap_bn_core,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa,0.04753386847923278,-0.016168808165016656,0.11184167298326364
output_gap_bn_core,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,theta,-0.041949632954638855,-0.09366126879887915,0.018418777815249227
output_gap_bn_core,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.7129297681860223,0.438882372505234,0.9661650902854118
output_gap_bn_core,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa,0.010619240477273686,-0.11225599111963552,0.13556722080435707
output_gap_bn_core,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,theta,0.11048481954603906,-0.2811564715397439,0.4968760479138606
output_gap_bn_core,hsa_dynamic,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.7715041356164918,0.6812780459080559,0.8624041074274457
output_gap_bn_core,hsa_dynamic,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa,0.03532244431109135,-0.011806789036049037,0.08077544031091473
output_gap_bn_core,hsa_dynamic,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,theta,-0.04039173838561869,-0.08392829951567063,0.012456482301226035
output_gap_bn_core,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.8488323932186083,0.7535039422156088,0.9403205988918812
output_gap_bn_core,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa,0.03155062017923476,-0.016624614836591587,0.08030100323788696
output_gap_bn_core,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,theta,0.0615052296012197,-0.01596825055884779,0.14971474828681985
output_gap_bn_core,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,bulk ESS < 400,log100_centered10,alpha,0.7691622924675633,0.6791914076560008,0.8585056546915304
output_gap_bn_core,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,bulk ESS < 400,log100_centered10,kappa,0.03467562302107685,-0.012878596140634524,0.08210087634667507
output_gap_bn_core,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,bulk ESS < 400,log100_centered10,theta,-0.039253972941783025,-0.08614433217991078,0.014604955758803988
