data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,mean,ci_2.5,ci_97.5
output_gap_bn_core,hsa_full,full,1913-03-31,2025-09-30,451,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,alpha,0.8011241205051111,0.7019393357461238,0.9024464004409624
output_gap_bn_core,hsa_full,full,1913-03-31,2025-09-30,451,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,kappa_0,0.04699559335925505,-6.318593986715143e-06,0.09612810876383875
output_gap_bn_core,hsa_full,full,1913-03-31,2025-09-30,451,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,delta,0.011421785841498555,-0.007484154485174336,0.029593933449258508
output_gap_bn_core,hsa_full,full,1913-03-31,2025-09-30,451,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,theta_0,0.019175634657971605,-0.04895117495860123,0.09014293058141978
output_gap_bn_core,hsa_full,full,1913-03-31,2025-09-30,451,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,gamma,-0.03860703520090282,-0.06879775696022353,-0.007393624557076739
output_gap_bn_core,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400,log100_centered10,alpha,0.8082862929813236,0.6856191934906848,0.930314293549881
output_gap_bn_core,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400,log100_centered10,kappa_0,0.04386449942650797,-0.024824979411096026,0.11228643802749537
output_gap_bn_core,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400,log100_centered10,delta,0.013551438621068206,-0.009064726661317388,0.03636921447568248
output_gap_bn_core,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400,log100_centered10,theta_0,0.03868202345761012,-0.05257079510737107,0.1316519233842839
output_gap_bn_core,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400,log100_centered10,gamma,-0.0337412369158539,-0.06187242058277115,-0.007533942840903008
output_gap_bn_core,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,tail ESS < 400,log100_centered10,alpha,0.6670323650076534,0.3696863858775847,0.9570186462545993
output_gap_bn_core,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,tail ESS < 400,log100_centered10,kappa_0,0.018385939737576698,-0.11952795212713233,0.16553098319594653
output_gap_bn_core,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,tail ESS < 400,log100_centered10,delta,0.0001950898024315781,-0.039988660795280705,0.040357807856449636
output_gap_bn_core,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,tail ESS < 400,log100_centered10,theta_0,0.09656169671835926,-0.28582125648722184,0.4753796465224651
output_gap_bn_core,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,tail ESS < 400,log100_centered10,gamma,-0.00045331584065517886,-0.03910965696515824,0.03934113943017314
output_gap_bn_core,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,alpha,0.8148220892906073,0.7140153096839797,0.9139249242363268
output_gap_bn_core,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,kappa_0,0.047828355521886474,-0.00021486187941621528,0.09569291221594552
output_gap_bn_core,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,R-hat > 1.01; R-hat > 1.01; bulk ESS < 400; R-hat > 1.01; bulk ESS < 400; tail ESS < 400; bulk ESS < 400,log100_centered10,delta,0.011872201543865897,-0.004361279551454717,0.028243303700707267
