data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,mean,ci_2.5,ci_97.5
output_gap_bn_core,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,bulk ESS < 400; tail ESS < 400,log100_centered10,alpha,0.7622708946377378,0.6699755004793774,0.8541134491936887
output_gap_bn_core,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,bulk ESS < 400; tail ESS < 400,log100_centered10,kappa_0,0.031226852825558534,-0.018432971721178998,0.08144761604119162
output_gap_bn_core,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,bulk ESS < 400; tail ESS < 400,log100_centered10,delta,0.010610899918749812,-0.009204835037854938,0.030115887818088074
output_gap_bn_core,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.7501698913004259,0.6376124628140258,0.861949604052377
output_gap_bn_core,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa_0,0.02746422227272901,-0.047019630118778896,0.10010408946673428
output_gap_bn_core,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,delta,0.014182847096885307,-0.014045316036413206,0.041103151311237096
output_gap_bn_core,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.6706131791255383,0.3766984936514463,0.957584015615674
output_gap_bn_core,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa_0,0.018677687003939333,-0.12412071431326988,0.1626742175967142
output_gap_bn_core,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,delta,-0.0005685576630106324,-0.03969951255448985,0.038615196026746144
output_gap_bn_core,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,bulk ESS < 400,log100_centered10,alpha,0.7621665571414736,0.6665077206418044,0.8572287279703096
output_gap_bn_core,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,bulk ESS < 400,log100_centered10,kappa_0,0.030243674500651584,-0.01966997868371867,0.07819324692935412
output_gap_bn_core,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,bulk ESS < 400,log100_centered10,delta,0.010902288865665495,-0.008523428266499447,0.029683533740846167
output_gap_bn_core,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.8484392480597006,0.7450768276757082,0.9497980835894222
output_gap_bn_core,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa_0,0.021889695401244778,-0.036332483777000615,0.07772451146189018
output_gap_bn_core,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,delta,-0.007667849710881858,-0.03055274961476433,0.016540541003654402
output_gap_bn_core,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,bulk ESS < 400; tail ESS < 400,log100_centered10,alpha,0.7611200663942498,0.6656102482220697,0.854888109495215
output_gap_bn_core,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,bulk ESS < 400; tail ESS < 400,log100_centered10,kappa_0,0.030966784206175248,-0.020158375968181413,0.08166772869029615
output_gap_bn_core,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,bulk ESS < 400; tail ESS < 400,log100_centered10,delta,0.01062454916418937,-0.008817504407586208,0.03049480214251388
