data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,mean,ci_2.5,ci_97.5
unemployment_gap,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6470144997251773,0.5434404882126659,0.7494261132162964
unemployment_gap,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.05560944809156388,-0.0075453006734305566,0.11996745083885063
unemployment_gap,ces,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.6804310942614216,0.5720391515947642,0.7827645604671991
unemployment_gap,ces,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa,0.16489950207593967,0.08653290873734978,0.24333714891207994
unemployment_gap,ces,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.572788601825166,0.32579747289854155,0.8073935519380463
unemployment_gap,ces,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa,-0.0185009827460307,-0.14906776159998913,0.10768866910798658
unemployment_gap,ces,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.6452025936253162,0.5384575978588247,0.7490664262875308
unemployment_gap,ces,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa,0.05671559237615065,-0.007999449586711819,0.11956826935231597
unemployment_gap,ces,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.6261638406841408,0.5023884499304689,0.7461399557418315
unemployment_gap,ces,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa,-0.006707866654638581,-0.0808383971680952,0.06987790821245443
unemployment_gap,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6468823811112844,0.5417355443043578,0.7490101510706159
unemployment_gap,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa,0.056033815849127644,-0.007385306602471195,0.11927489173828651
