data_spec,model,period,start,end,n_obs,status,warning,parameter,mean,ci_2.5,ci_97.5
unemployment_gap,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,alpha,0.6577146518731218,0.5494211196201224,0.7578497606769006
unemployment_gap,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,kappa_0,0.07574055837183429,-0.36729841383541106,0.36646623893862007
unemployment_gap,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,delta,-5.6308932395560354e-05,-0.0016572990900074662,0.0021052168184222016
unemployment_gap,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,alpha,0.6704346811319878,0.5908103914601667,0.7651532488749768
unemployment_gap,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,kappa_0,0.09841330042554569,-0.19242609449420978,0.46161767124827363
unemployment_gap,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,delta,0.00034841595289459334,-0.0015815994530124942,0.002134801998957926
unemployment_gap,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,alpha,0.610216985571385,0.40948904695771765,0.7891716262338617
unemployment_gap,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,kappa_0,0.06735932497969079,-0.42510916343160704,0.46384249550901935
unemployment_gap,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,delta,-0.0004669816844152101,-0.003016497127561592,0.002137756966551749
unemployment_gap,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,alpha,0.638856053817529,0.5336355767873795,0.7118519646352793
unemployment_gap,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,kappa_0,-0.019975778875994915,-0.42713105125068507,0.2862363756649122
unemployment_gap,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,delta,0.0003759850646774091,-0.0012412217933286873,0.002616769337585805
unemployment_gap,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,alpha,0.6111832763161325,0.512015249249605,0.6950764910938971
unemployment_gap,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,kappa_0,0.05263589481907109,-0.4687035075295923,0.46662830271063466
unemployment_gap,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,delta,-0.0003263992736865324,-0.0025504919729676463,0.0022825097916855676
unemployment_gap,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,alpha,0.6530487822131221,0.5534057565918996,0.7573980908940681
unemployment_gap,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,kappa_0,0.004153493091920354,-0.4906017051703647,0.3742008411996701
unemployment_gap,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,delta,0.00025684620776419704,-0.0015757989079227851,0.002568509621640926
