data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,mean,ci_2.5,ci_97.5
unemployment_gap_core,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.7546283320836287,0.6753801023835222,0.831566468902704
unemployment_gap_core,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.03938891347082609,0.006705957839002623,0.0721754559831928
unemployment_gap_core,ces,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.7825369493105869,0.6898713324033149,0.8738115501685405
unemployment_gap_core,ces,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa,0.09900863452556383,0.04526144966529406,0.1521124972461727
unemployment_gap_core,ces,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.6678979995242994,0.37583606562065736,0.9411157985226475
unemployment_gap_core,ces,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa,0.007998984152219984,-0.06924940360718723,0.08594820062741111
unemployment_gap_core,ces,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.753554670608606,0.6719327991035109,0.8331761593472449
unemployment_gap_core,ces,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa,0.03995217934196627,0.007688561768775091,0.07154994103474877
unemployment_gap_core,ces,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.8465927752810529,0.7528876017094752,0.9402816964862345
unemployment_gap_core,ces,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa,0.011590255005420505,-0.020478397574656942,0.044553259349742864
unemployment_gap_core,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.7546530866052348,0.6731218587529207,0.8329591028399401
unemployment_gap_core,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa,0.03959931033225685,0.007643530114400914,0.0713671974859445
