data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,mean,ci_2.5,ci_97.5
unemployment_gap_core,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.7940524687962334,0.7154665416049725,0.8733692449676499
unemployment_gap_core,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa_0,0.05143212280079951,0.01514456491673509,0.08791275801742449
unemployment_gap_core,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,delta,0.022661862455434237,0.009864522634375282,0.03929876932682573
unemployment_gap_core,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.7876001441328968,0.6938855081192665,0.8776004165480779
unemployment_gap_core,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa_0,0.060852401989192145,-0.022288779556129058,0.13803741980272186
unemployment_gap_core,hsa_steady,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,delta,0.021956602009976543,-0.007546823651095755,0.04962165582365232
unemployment_gap_core,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.6755637367537204,0.37868115344304276,0.9549322744989324
unemployment_gap_core,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa_0,0.006461093439402431,-0.06659017609096501,0.08353403892062457
unemployment_gap_core,hsa_steady,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,delta,0.0014265368757398588,-0.0373453341250203,0.04161260521768765
unemployment_gap_core,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.79451716852386,0.7154905660103019,0.873444804842891
unemployment_gap_core,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa_0,0.05101027278230907,0.01659582341433812,0.08717345461996566
unemployment_gap_core,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,delta,0.022435168776191956,0.00972425867250683,0.03835191379627471
unemployment_gap_core,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.8604547627632908,0.7664169974782492,0.9547708381230535
unemployment_gap_core,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa_0,0.028693887779437786,-0.017759053566780127,0.07957251948959045
unemployment_gap_core,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,delta,0.010591642759939197,-0.01029745966619134,0.03190221763443804
unemployment_gap_core,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.7939337574874379,0.7147529804118838,0.8732643827167847
unemployment_gap_core,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa_0,0.05216879202069043,0.01701546163144231,0.08995003572981825
unemployment_gap_core,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,delta,0.022737561850835166,0.009334103080881262,0.03910750695455276
