prior,model,data_spec,n_transform,parameter,mean,median,ci_2.5,ci_97.5,p_gt_0,p_lt_0,conclusion
baseline,ces,output_gap_bn_core,log100_centered10,alpha,0.74535933074366,0.745637199124003,0.6522883270449128,0.8301402391117918,1.0,0.0,
baseline,ces,output_gap_bn_core,log100_centered10,kappa,0.03172285402094013,0.031300063493488184,-0.017029349656504225,0.0808920938464345,0.90375,0.09625,
baseline,ces,output_gap_bn_core,log100_centered10,sigma_e,0.33562233596261165,0.3342090053900738,0.29597419821437176,0.3802823805277405,1.0,0.0,
baseline,ces,output_gap_bn_core,log100_centered10,sigma_zeta,0.5795317210738797,0.576810628385462,0.5117740240167173,0.6601044208669529,1.0,0.0,
weak,ces,output_gap_bn_core,log100_centered10,alpha,0.7565837258359553,0.7577334536214007,0.6682943572050516,0.8408549864043601,1.0,0.0,
weak,ces,output_gap_bn_core,log100_centered10,kappa,0.03403603229480157,0.03414354425167426,-0.009946574771596316,0.07873969767306972,0.9353125,0.0646875,
weak,ces,output_gap_bn_core,log100_centered10,sigma_e,0.31288489387739093,0.31186204677006657,0.27544920265094036,0.3580823964745859,1.0,0.0,
weak,ces,output_gap_bn_core,log100_centered10,sigma_zeta,0.5778753190890524,0.5762936691324092,0.5106875084556579,0.6558431580909964,1.0,0.0,
tight,ces,output_gap_bn_core,log100_centered10,alpha,0.7054518507974342,0.7059490536480031,0.612167878280005,0.7945666893371544,1.0,0.0,
tight,ces,output_gap_bn_core,log100_centered10,kappa,0.026952971614720624,0.02697162020305032,-0.02479437551003397,0.0808059482595463,0.8446875,0.1553125,
tight,ces,output_gap_bn_core,log100_centered10,sigma_e,0.37922218564990745,0.37820699551889486,0.33438649132363946,0.43167692035040967,1.0,0.0,
tight,ces,output_gap_bn_core,log100_centered10,sigma_zeta,0.5798974258593033,0.578487314999326,0.5109028239206217,0.65652477650453,1.0,0.0,
baseline,hsa_steady,output_gap_bn_core,log100_centered10,alpha,0.7622708946377378,0.7622882898851322,0.6699755004793774,0.8541134491936887,1.0,0.0,
baseline,hsa_steady,output_gap_bn_core,log100_centered10,kappa_0,0.031226852825558534,0.03117916326574879,-0.018432971721178998,0.08144761604119162,0.8959375,0.1040625,
baseline,hsa_steady,output_gap_bn_core,log100_centered10,delta,0.010610899918749812,0.010494346777148448,-0.009204835037854938,0.030115887818088074,0.875,0.125,
baseline,hsa_steady,output_gap_bn_core,log100_centered10,rho_1,1.8075239021884264,1.8089757769487333,1.7123302229402806,1.8925861785346645,1.0,0.0,
baseline,hsa_steady,output_gap_bn_core,log100_centered10,rho_2,-0.8207890141462352,-0.8222322123602176,-0.903255926020361,-0.7278015407822095,0.0,1.0,
baseline,hsa_steady,output_gap_bn_core,log100_centered10,sigma_e,0.33474095392938436,0.3335656636476257,0.29550993509204393,0.3800660857050166,1.0,0.0,
