run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_inv_markup_exclude_covid_baseline_20260623_014850,ces,inv_markup_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6377181229576433,0.05206264667100707,0.5309906622550574,0.7407558293725667,1.0,0.0
ces_inv_markup_exclude_covid_baseline_20260623_014850,ces,inv_markup_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.010507062320926583,0.11495613893580688,-0.2120079579435999,0.23425157301053817,0.5334375,0.4665625
hsa_dynamic_inv_markup_exclude_covid_baseline_20260623_021205,hsa_dynamic,inv_markup_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6173442164307439,0.05460357889939457,0.5056185153775631,0.7207889279375401,1.0,0.0
hsa_dynamic_inv_markup_exclude_covid_baseline_20260623_021205,hsa_dynamic,inv_markup_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.00926076168591941,0.11795763559975211,-0.22041024519482982,0.24726665796550895,0.5290625,0.4709375
hsa_dynamic_inv_markup_exclude_covid_baseline_20260623_021205,hsa_dynamic,inv_markup_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.022408764364529942,0.2639526554213942,-0.36810455158543376,0.5725475230816147,0.3109375,0.6890625
hsa_dynamic_inv_markup_exclude_covid_baseline_20260623_021205,hsa_dynamic,inv_markup_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.90211916586894,0.1258552213511895,0.6275320043380267,1.1155263776647153,1.0,0.0
hsa_dynamic_inv_markup_exclude_covid_baseline_20260623_021205,hsa_dynamic,inv_markup_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,0.009899688613336618,0.1047066571859986,-0.1948890316939627,0.2249816423694763,0.52875,0.47125
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.575946188809833,0.05754127747407111,0.46352704547344104,0.6892668500188397,1.0,0.0
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.07532560042356244,0.12037661427045875,-0.15802544851238295,0.31865042456030623,0.729375,0.270625
hsa_full_inv_markup_exclude_covid_baseline_20260623_022743,hsa_full,inv_markup_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,-0.003588844804783095,0.019441641936284105,-0.0418363957611038,0.034498932555993796,0.4228125,0.5771875
