data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,posterior_mean,ci_2.5,ci_97.5
inv_markup,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6394935081011621,0.5380375299616754,0.7420861047012839
inv_markup,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.0067272278910794,-0.2170562420467619,0.2283343719806947
inv_markup,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6389539664487901,0.5361709656869622,0.7415473689685155
inv_markup,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa_0,0.0101316150282685,-0.2170897354694353,0.2407938735475412
inv_markup,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,delta,-0.0031205586806738,-0.0396707979437544,0.0335088763531263
inv_markup,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6149887157508009,0.5038438268234352,0.7198519334198948
inv_markup,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.0115365684941282,-0.2174000822095282,0.2396860752338457
inv_markup,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,theta,-0.0224646626950226,-0.3588927558824696,0.5774586748401236
inv_markup,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6023888978615318,0.4853576576948906,0.7182984544617472
inv_markup,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa_0,0.0357052860163756,-0.2096908877875257,0.2827776320061679
inv_markup,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,delta,-0.0019610798437393,-0.0400597638995258,0.0358744289289524
inv_markup,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,theta_0,0.0564412183399945,-0.3799268810511279,0.4719614353299176
inv_markup,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,gamma,-0.0060523343256927,-0.0457521901622088,0.0322969544887913
