run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_inv_markup_baseline_20260622_131545,ces,inv_markup,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6342404002798551,0.05883234843403645,0.5473848560101239,0.7427868640999529,1.0,0.0
ces_inv_markup_baseline_20260622_131545,ces,inv_markup,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.011648962549321715,0.12378137997088345,-0.2051382524731305,0.30179018459993434,0.55,0.45
ces_inv_markup_baseline_20260702_071118,ces,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6394935081011621,0.05227698792229532,0.5380375299616754,0.7420861047012839,1.0,0.0
ces_inv_markup_baseline_20260702_071118,ces,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.006727227891079419,0.11465180565958309,-0.2170562420467619,0.22833437198069473,0.5203125,0.4796875
ces_inv_markup_baseline_20260702_134314,ces,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6394935081011621,0.05227698792229532,0.5380375299616754,0.7420861047012839,1.0,0.0
ces_inv_markup_baseline_20260702_134314,ces,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.006727227891079419,0.11465180565958309,-0.2170562420467619,0.22833437198069473,0.5203125,0.4796875
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6394935081011621,0.05227698792229532,0.5380375299616754,0.7420861047012839,1.0,0.0
ces_inv_markup_full_baseline_20260623_014846,ces,inv_markup_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.006727227891079419,0.11465180565958309,-0.2170562420467619,0.22833437198069473,0.5203125,0.4796875
hsa_dynamic_inv_markup_baseline_20260622_131549,hsa_dynamic,inv_markup,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6160830959720842,0.0514656756701753,0.5294259737644587,0.7235356469859925,1.0,0.0
hsa_dynamic_inv_markup_baseline_20260622_131549,hsa_dynamic,inv_markup,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.030089904459993915,0.1530949568879425,-0.21273752513600713,0.30237212797208435,0.575,0.425
hsa_dynamic_inv_markup_baseline_20260622_131549,hsa_dynamic,inv_markup,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.008273059652678705,0.0038630227738098402,0.002910406876295694,0.015830764754206184,1.0,0.0
hsa_dynamic_inv_markup_baseline_20260622_131549,hsa_dynamic,inv_markup,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.8712740011397664,0.030346883323079756,1.8073790215911147,1.9098692081714004,1.0,0.0
hsa_dynamic_inv_markup_baseline_20260622_131549,hsa_dynamic,inv_markup,baseline,unrestricted,log100,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.8747777003631884,0.03013355172844749,-0.9149672363461367,-0.8100803169750856,0.0,1.0
hsa_dynamic_inv_markup_baseline_20260702_071133,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6387769349965712,0.050812431139013625,0.5436765047961006,0.7406911422753067,1.0,0.0
hsa_dynamic_inv_markup_baseline_20260702_071133,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,-0.023759135375327634,0.11134091955724773,-0.24092683949233107,0.1978168625516942,0.409375,0.590625
hsa_dynamic_inv_markup_baseline_20260702_071133,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.07821888588649925,0.05395840977104316,-0.17100662255079072,0.05599208539961543,0.0725,0.9275
hsa_dynamic_inv_markup_baseline_20260702_071133,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.768207293440165,0.053219195022800876,1.6545822544949378,1.868231634587748,1.0,0.0
hsa_dynamic_inv_markup_baseline_20260702_071133,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.7823760622968376,0.05123844440203079,-0.8782125735097388,-0.6735657154758663,0.0,1.0
hsa_dynamic_inv_markup_baseline_20260702_134953,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6387769349965712,0.050812431139013625,0.5436765047961006,0.7406911422753067,1.0,0.0
hsa_dynamic_inv_markup_baseline_20260702_134953,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,-0.023759135375327634,0.11134091955724773,-0.24092683949233107,0.1978168625516942,0.409375,0.590625
hsa_dynamic_inv_markup_baseline_20260702_134953,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.07821888588649925,0.05395840977104316,-0.17100662255079072,0.05599208539961543,0.0725,0.9275
hsa_dynamic_inv_markup_baseline_20260702_134953,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.768207293440165,0.053219195022800876,1.6545822544949378,1.868231634587748,1.0,0.0
hsa_dynamic_inv_markup_baseline_20260702_134953,hsa_dynamic,inv_markup,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.7823760622968376,0.05123844440203079,-0.8782125735097388,-0.6735657154758663,0.0,1.0
hsa_dynamic_inv_markup_full_baseline_20260623_020507,hsa_dynamic,inv_markup_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6149887157508009,0.05510173441825285,0.5038438268234352,0.7198519334198948,1.0,0.0
hsa_dynamic_inv_markup_full_baseline_20260623_020507,hsa_dynamic,inv_markup_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.011536568494128279,0.11760578580171199,-0.21740008220952822,0.2396860752338457,0.53875,0.46125
hsa_dynamic_inv_markup_full_baseline_20260623_020507,hsa_dynamic,inv_markup_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.022464662695022664,0.2660384857463863,-0.35889275588246966,0.5774586748401236,0.3078125,0.6921875
hsa_dynamic_inv_markup_full_baseline_20260623_020507,hsa_dynamic,inv_markup_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.9018099968704851,0.12592354642045764,0.6223366191111397,1.1179212987620473,1.0,0.0
hsa_dynamic_inv_markup_full_baseline_20260623_020507,hsa_dynamic,inv_markup_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,0.012984572261874293,0.10406369075130457,-0.19007600386186707,0.22122845268558095,0.5325,0.4675
