run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_inv_markup_post_2008_baseline_20260623_014849,ces,inv_markup_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,2009-03-31,2012-12-31,alpha,share,0.5680463467336565,0.12434746101999514,0.3216123139435793,0.8071847099604004,1.0,0.0
ces_inv_markup_post_2008_baseline_20260623_014849,ces,inv_markup_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,2009-03-31,2012-12-31,kappa,inflation points per x point,0.12159048258784923,0.1849497018894681,-0.23992172859312483,0.48061408865950545,0.745,0.255
hsa_dynamic_inv_markup_post_2008_baseline_20260623_021132,hsa_dynamic,inv_markup_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,2009-03-31,2012-12-31,alpha,share,0.5747095836521241,0.11265391856678572,0.3472549836066016,0.7931247962912611,1.0,0.0
hsa_dynamic_inv_markup_post_2008_baseline_20260623_021132,hsa_dynamic,inv_markup_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,2009-03-31,2012-12-31,kappa,inflation points per x point,0.1915990358099478,0.1878697922548393,-0.1800912815040558,0.5619266449217035,0.8465625,0.1534375
hsa_dynamic_inv_markup_post_2008_baseline_20260623_021132,hsa_dynamic,inv_markup_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,2009-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.1643783066755394,0.24446552510408803,-0.31638521988084095,0.6373557287310482,0.7475,0.2525
hsa_dynamic_inv_markup_post_2008_baseline_20260623_021132,hsa_dynamic,inv_markup_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,2009-03-31,2012-12-31,rho_1,AR(2) coefficient,0.534255019213728,0.19752624112488565,0.13667351354242738,0.9095687833591507,0.9959375,0.0040625
hsa_dynamic_inv_markup_post_2008_baseline_20260623_021132,hsa_dynamic,inv_markup_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,2009-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.3456237570365086,0.18224743175977487,-0.7165103121770005,0.0021497045827221398,0.0259375,0.9740625
hsa_full_inv_markup_post_2008_baseline_20260623_022718,hsa_full,inv_markup_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,2009-03-31,2012-12-31,alpha,share,0.5707637950046386,0.12072510533712563,0.3301055267187355,0.803038906814814,1.0,0.0
hsa_full_inv_markup_post_2008_baseline_20260623_022718,hsa_full,inv_markup_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,2009-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.12419644943388196,0.17665163738889647,-0.21549829233265919,0.48115148469930324,0.7615625,0.2384375
hsa_full_inv_markup_post_2008_baseline_20260623_022718,hsa_full,inv_markup_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,2009-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.0004738015947690251,0.02024388602959158,-0.03812634651825451,0.041262992187919026,0.50375,0.49625
