data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,posterior_mean,ci_2.5,ci_97.5
inv_markup,ces,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.6218897173886379,0.4971055104636659,0.741619712120775
inv_markup,ces,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa,0.012395634846036,-0.231571031550323,0.2676358774185647
inv_markup,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.6211336158179701,0.5012798060300864,0.7391071851130184
inv_markup,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa_0,0.01205298651678,-0.2343403324775928,0.2723894775630519
inv_markup,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,delta,-0.0005622796397924,-0.0391489160729658,0.0359551507812248
inv_markup,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.6121087102451348,0.4940629590778265,0.7240857527988313
inv_markup,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa,0.0196773792358635,-0.2248270321016145,0.2730098376113282
inv_markup,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,theta,0.1448668869979603,-0.2471037684491636,0.5250489654641123
inv_markup,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.5803953570947408,0.4470344961464566,0.7151451371734926
inv_markup,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa_0,0.058518856906088,-0.1988956959861802,0.3187543099987632
inv_markup,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,delta,-0.0005782063883245,-0.0380110921745292,0.0367136250096282
inv_markup,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,theta_0,0.1565947615005655,-0.1150701091996301,0.4232722582864728
inv_markup,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,gamma,-0.0007907843937429,-0.0404305568310619,0.0374087422141311
