run,model,data_spec,prior_spec,constraint_spec,competition_measurement_frequency,restriction,unit,prior_mean,prior_sd,sddr_bf01
ces_labor_share_gap_hp_baseline_20260702_071127,ces,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,2.7022051308987396
ces_labor_share_gap_hp_baseline_20260702_143958,ces,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,2.7022051308987396
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,2.8421037537809326
hsa_dynamic_labor_share_gap_hp_baseline_20260702_073654,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.9151317745419779
hsa_dynamic_labor_share_gap_hp_baseline_20260702_144631,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,2.8421037537809326
hsa_dynamic_labor_share_gap_hp_baseline_20260702_144631,hsa_dynamic,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.9151317745419779
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,2.803117627969212
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.9858206230631357
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,3.5875502576321754
hsa_full_labor_share_gap_hp_baseline_20260702_073151,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.3739141399876233
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,2.803117627969212
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.9858206230631357
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,3.5875502576321754
hsa_full_labor_share_gap_hp_baseline_20260702_145315,hsa_full,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.3739141399876233
hsa_steady_labor_share_gap_hp_baseline_20260702_073600,hsa_steady,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,2.646564443290901
hsa_steady_labor_share_gap_hp_baseline_20260702_073600,hsa_steady,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.0765211799781769
hsa_steady_labor_share_gap_hp_baseline_20260702_144000,hsa_steady,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,2.646564443290901
hsa_steady_labor_share_gap_hp_baseline_20260702_144000,hsa_steady,labor_share_gap_hp,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,1.0765211799781769
