data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,posterior_mean,ci_2.5,ci_97.5
output_gap_bn,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6723515602936763,0.5544897577928992,0.7851650857999531
output_gap_bn,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa,0.0590955156944937,-0.0237460963263563,0.1417853705469095
output_gap_bn,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6603531313031235,0.5448895971584045,0.7740180214849319
output_gap_bn,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa_0,0.0475583604443167,-0.0444616783931356,0.1387779315056902
output_gap_bn,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,delta,-0.0227539678908419,-0.0560829747131178,0.0102074867248246
output_gap_bn,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6290450025673032,0.507942362872484,0.7471605975659881
output_gap_bn,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa,0.0905851166643443,-0.0001590828681998,0.1856445483243871
output_gap_bn,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,theta,0.1933358780340376,-0.3264422180309708,0.6560753756734183
output_gap_bn,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6178565342698272,0.4904625120652254,0.7379879376637066
output_gap_bn,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa_0,0.0830846882000384,-0.0127828099503594,0.1848968207058011
output_gap_bn,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,delta,-0.020121169081891,-0.0522061450898161,0.01431183213995
output_gap_bn,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,theta_0,0.093213428130645,-0.3328301580827066,0.5851330543653805
output_gap_bn,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,gamma,-0.0025258873980379,-0.0431834505054679,0.0348719406491427
