data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,posterior_mean,ci_2.5,ci_97.5
output_gap_bn,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6722478848512294,0.5563615810472459,0.7846385609308255
output_gap_bn,ces,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.0586251636612607,-0.0249985061971547,0.1440407044964675
output_gap_bn,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6573260709157008,0.5411978541143744,0.7708134422426827
output_gap_bn,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa_0,0.0460574467590244,-0.042789265425805,0.1326086216168935
output_gap_bn,hsa_steady,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,delta,-0.0229087689265769,-0.0559274633401327,0.0104931898479076
output_gap_bn,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6361633211526591,0.5108449071466759,0.7582670043382962
output_gap_bn,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.0838423157897854,-0.0093548397375055,0.1806973858904078
output_gap_bn,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,theta,0.1174316625776305,-0.3556000636837082,0.6461935491018013
output_gap_bn,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6043464721849415,0.4842908632082613,0.7253959428649294
output_gap_bn,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa_0,0.0876873269932971,-0.0087665470588916,0.179081149816031
output_gap_bn,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,delta,-0.0219342117421287,-0.0513255099033145,0.0147676381391864
output_gap_bn,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,theta_0,0.0755088666743105,-0.2827978772985377,0.5375328968865063
output_gap_bn,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,gamma,0.000821502441895,-0.0361317061619624,0.033077239627982
