run,model,data_spec,prior_spec,constraint_spec,n_transform,log_marginal_likelihood,bayes_factor_vs_baseline,sddr_delta_bf01,sddr_theta_bf01,sddr_theta0_bf01,sddr_gamma_bf01,predictive_score,posterior_predictive_rmse,notes,log_likelihood,log_prior,log_posterior_ordinate,n_draws,method
ces_output_gap_bn_baseline_20260702_071122,ces,output_gap_bn,baseline,unrestricted,log100_centered10,-245.35466106076927,1.0,,,,,-120.75332068962132,0.6396136117857288,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-227.5367874610233,-5.63860750391478,12.179266095831206,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_output_gap_bn_baseline_20260702_140212,ces,output_gap_bn,baseline,unrestricted,log100_centered10,-245.35466106076927,1.0,,,,,-120.75332068962132,0.6396136117857288,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-227.5367874610233,-5.63860750391478,12.179266095831206,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_output_gap_bn_core_baseline_20260709_162634,ces,output_gap_bn_core,baseline,unrestricted,log100_centered10,-232.42914997031497,410655.97142249916,,,,,-209.03387277787223,0.6470790380171648,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-333.89329490446994,-16.07510792727194,-117.53925286142689,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_output_gap_bn_core_full_baseline_20260709_174415,ces,output_gap_bn_core_full,baseline,unrestricted,log100_centered10,-232.42914997031497,410655.97142249916,,,,,,,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-333.89329490446994,-16.07510792727194,-117.53925286142689,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
ces_output_gap_bn_full_baseline_20260623_023550,ces,output_gap_bn_full,baseline,unrestricted,log100_centered10,-245.35466106076927,1.0,,,,,,,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-227.5367874610233,-5.63860750391478,12.179266095831206,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_output_gap_bn_baseline_20260702_071958,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,-123.19214188655971,1.1337256508010807e+53,,1.057210293405412,,,-118.57575671911403,0.6291926487629544,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-52.54605315449389,-23.943672476038625,46.70241625602719,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_output_gap_bn_baseline_20260702_140847,hsa_dynamic,output_gap_bn,baseline,unrestricted,log100_centered10,-123.19214188655971,1.1337256508010807e+53,,1.057210293405412,,,-118.57575671911403,0.6291926487629544,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-52.54605315449389,-23.943672476038625,46.70241625602719,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_output_gap_bn_core_baseline_20260709_163706,hsa_dynamic,output_gap_bn_core,baseline,unrestricted,log100_centered10,-108.93942311038737,1.7554363591996857e+59,,2.151086130077184,,,-228.64051028608262,0.6425186928903884,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-182.38685964067753,-36.04688354363804,-109.49432007392821,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_output_gap_bn_core_full_baseline_20260709_180037,hsa_dynamic,output_gap_bn_core_full,baseline,unrestricted,log100_centered10,-108.93942311038737,1.7554363591996857e+59,,2.151086130077184,,,,,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-182.38685964067753,-36.04688354363804,-109.49432007392821,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
hsa_dynamic_output_gap_bn_full_baseline_20260623_025331,hsa_dynamic,output_gap_bn_full,baseline,unrestricted,log100_centered10,-374.65071881967924,7.037778326558111e-57,,0.23523570377906428,,,,,SDDR uses run-specific saved priors and physical-unit posterior draws. Chib prior and ordinate terms use the run's saved priors (physical units); the AR(2) stationarity truncation and any hard coefficient constraints are not reflected in the prior normalization.,-249.37000472836056,-105.20069003789479,20.080024053423923,3200,"Chib 1995, Rao-Blackwellized Gibbs ordinate"
