run,model,data_spec,prior_spec,constraint_spec,competition_measurement_frequency,restriction,unit,prior_mean,prior_sd,sddr_bf01
ces_output_gap_bn_core_post_2008_baseline_20260709_174417,ces,output_gap_bn_core_post_2008,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,3.0977505690617
ces_output_gap_bn_post_2008_baseline_20260623_023552,ces,output_gap_bn_post_2008,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,0.562215964672523
hsa_dynamic_output_gap_bn_core_post_2008_baseline_20260709_180707,hsa_dynamic,output_gap_bn_core_post_2008,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,3.8054207071614994
hsa_dynamic_output_gap_bn_core_post_2008_baseline_20260709_180707,hsa_dynamic,output_gap_bn_core_post_2008,baseline,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.9914678134573789
hsa_dynamic_output_gap_bn_post_2008_baseline_20260623_025958,hsa_dynamic,output_gap_bn_post_2008,baseline,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.2,0.7105948921756505
hsa_dynamic_output_gap_bn_post_2008_baseline_20260623_025958,hsa_dynamic,output_gap_bn_post_2008,baseline,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,0.8790918277222459
hsa_full_output_gap_bn_core_post_2008_baseline_20260709_182307,hsa_full,output_gap_bn_core_post_2008,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,3.0906344911820876
hsa_full_output_gap_bn_core_post_2008_baseline_20260709_182307,hsa_full,output_gap_bn_core_post_2008,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.9806912455630538
hsa_full_output_gap_bn_core_post_2008_baseline_20260709_182307,hsa_full,output_gap_bn_core_post_2008,baseline,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,0.9764616755949816
hsa_full_output_gap_bn_core_post_2008_baseline_20260709_182307,hsa_full,output_gap_bn_core_post_2008,baseline,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.9337659235672894
hsa_full_output_gap_bn_post_2008_baseline_20260623_031539,hsa_full,output_gap_bn_post_2008,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.6755561345671435
hsa_full_output_gap_bn_post_2008_baseline_20260623_031539,hsa_full,output_gap_bn_post_2008,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.923381850123267
hsa_full_output_gap_bn_post_2008_baseline_20260623_031539,hsa_full,output_gap_bn_post_2008,baseline,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,0.9842476091367274
hsa_full_output_gap_bn_post_2008_baseline_20260623_031539,hsa_full,output_gap_bn_post_2008,baseline,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,0.9914192969651593
hsa_steady_output_gap_bn_core_post_2008_baseline_20260709_175038,hsa_steady,output_gap_bn_core_post_2008,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,2.926603231292078
hsa_steady_output_gap_bn_core_post_2008_baseline_20260709_175038,hsa_steady,output_gap_bn_core_post_2008,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.966554713323463
hsa_steady_output_gap_bn_post_2008_baseline_20260623_024253,hsa_steady,output_gap_bn_post_2008,baseline,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.5914529662091449
hsa_steady_output_gap_bn_post_2008_baseline_20260623_024253,hsa_steady,output_gap_bn_post_2008,baseline,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.9456192055662859
