data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,posterior_mean,ci_2.5,ci_97.5
output_gap_bn,ces,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.641236218765397,0.5149684209635341,0.7744706368030846
output_gap_bn,ces,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa,0.0834233028411084,-0.0161331704908453,0.1859765354599717
output_gap_bn,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.6306480999710493,0.5030852902721816,0.7556903798718949
output_gap_bn,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa_0,0.0679139703446021,-0.0381569276053475,0.1720882664465053
output_gap_bn,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,delta,-0.0183582810188415,-0.0509990993423876,0.0156835998938608
output_gap_bn,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.601589705185186,0.4660776488860669,0.73396120185864
output_gap_bn,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa,0.1309728960884647,0.0101770616931391,0.2586733598600088
output_gap_bn,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,theta,0.2762139248244393,-0.1590893583428529,0.6295474971930786
output_gap_bn,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.5698708276107305,0.4324063181591332,0.7097487171732968
output_gap_bn,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa_0,0.1404145225267797,0.0181974005745185,0.2742087138521391
output_gap_bn,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,delta,-0.018969012000024,-0.0539268505048388,0.0159085210669882
output_gap_bn,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,theta_0,0.2838682450363304,0.0512244054425802,0.5312332411466484
output_gap_bn,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,gamma,-0.0052613031814669,-0.0442577797332754,0.0329879319219317
