run,model,data_spec,prior_spec,constraint_spec,competition_measurement_frequency,restriction,unit,prior_mean,prior_sd,sddr_bf01
ces_output_gap_bn_core_tight_20260709_162636,ces,output_gap_bn_core,tight,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.1,3.6093581826177847
ces_output_gap_bn_tight_20260623_004945,ces,output_gap_bn,tight,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.1,1.5005412466067376
hsa_dynamic_output_gap_bn_core_tight_20260709_164417,hsa_dynamic,output_gap_bn_core,tight,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.1,3.6196646581745773
hsa_dynamic_output_gap_bn_core_tight_20260709_164417,hsa_dynamic,output_gap_bn_core,tight,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.1,1.9134692217104774
hsa_dynamic_output_gap_bn_tight_20260623_010659,hsa_dynamic,output_gap_bn,tight,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.1,1.2250825354070682
hsa_dynamic_output_gap_bn_tight_20260623_010659,hsa_dynamic,output_gap_bn,tight,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.1,0.9551042524326437
hsa_full_output_gap_bn_core_tight_20260709_165342,hsa_full,output_gap_bn_core,tight,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.1,3.6358065435719586
hsa_full_output_gap_bn_core_tight_20260709_165342,hsa_full,output_gap_bn_core,tight,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.01,0.9932500393939082
hsa_full_output_gap_bn_core_tight_20260709_165342,hsa_full,output_gap_bn_core,tight,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.1,2.4187177634335906
hsa_full_output_gap_bn_core_tight_20260709_165342,hsa_full,output_gap_bn_core,tight,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.01,0.9375457019169391
hsa_full_output_gap_bn_tight_20260623_011618,hsa_full,output_gap_bn,tight,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.1,1.692016985944241
hsa_full_output_gap_bn_tight_20260623_011618,hsa_full,output_gap_bn,tight,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.01,0.7170293100300669
hsa_full_output_gap_bn_tight_20260623_011618,hsa_full,output_gap_bn,tight,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.1,0.8922321231119346
hsa_full_output_gap_bn_tight_20260623_011618,hsa_full,output_gap_bn,tight,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.01,1.0356406553217699
hsa_steady_output_gap_bn_core_tight_20260709_163338,hsa_steady,output_gap_bn_core,tight,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.1,3.8596143950387276
hsa_steady_output_gap_bn_core_tight_20260709_163338,hsa_steady,output_gap_bn_core,tight,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.01,1.2081711474547534
hsa_steady_output_gap_bn_tight_20260702_075907,hsa_steady,output_gap_bn,tight,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.1,1.2215912368414903
hsa_steady_output_gap_bn_tight_20260702_075907,hsa_steady,output_gap_bn,tight,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.01,0.8526378661980972
