run,model,data_spec,prior_spec,constraint_spec,competition_measurement_frequency,restriction,unit,prior_mean,prior_sd,sddr_bf01
ces_output_gap_bn_core_weak_20260709_162635,ces,output_gap_bn_core,weak,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.5,7.391008140274211
ces_output_gap_bn_weak_20260623_004944,ces,output_gap_bn,weak,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.5,4.154908383102064
hsa_dynamic_output_gap_bn_core_weak_20260709_164041,hsa_dynamic,output_gap_bn_core,weak,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.5,7.661822997230714
hsa_dynamic_output_gap_bn_core_weak_20260709_164041,hsa_dynamic,output_gap_bn_core,weak,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.0,0.5,6.106940008154578
hsa_dynamic_output_gap_bn_weak_20260623_010330,hsa_dynamic,output_gap_bn,weak,unrestricted,quarterly_interpolated,kappa=0,inflation points per x point,0.1,0.5,1.284771912511661
hsa_dynamic_output_gap_bn_weak_20260623_010330,hsa_dynamic,output_gap_bn,weak,unrestricted,quarterly_interpolated,theta=0,inflation effect per +10 log-point Nhat deviation,0.0,0.5,0.16999876117957768
hsa_full_output_gap_bn_core_weak_20260709_165047,hsa_full,output_gap_bn_core,weak,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.5,0.7206392534021396
hsa_full_output_gap_bn_core_weak_20260709_165047,hsa_full,output_gap_bn_core,weak,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.1,4.053887187561898
hsa_full_output_gap_bn_core_weak_20260709_165047,hsa_full,output_gap_bn_core,weak,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.0,0.5,5.612000800061637
hsa_full_output_gap_bn_core_weak_20260709_165047,hsa_full,output_gap_bn_core,weak,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.1,0.012512114193988465
hsa_full_output_gap_bn_weak_20260623_011323,hsa_full,output_gap_bn,weak,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.5,3.621103861416849
hsa_full_output_gap_bn_weak_20260623_011323,hsa_full,output_gap_bn,weak,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.1,0.09473731761980853
hsa_full_output_gap_bn_weak_20260623_011323,hsa_full,output_gap_bn,weak,unrestricted,quarterly_interpolated,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.0,0.5,0.160349163883326
hsa_full_output_gap_bn_weak_20260623_011323,hsa_full,output_gap_bn,weak,unrestricted,quarterly_interpolated,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.1,0.39173331583291204
hsa_steady_output_gap_bn_core_weak_20260709_163009,hsa_steady,output_gap_bn_core,weak,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.5,7.80767240009909
hsa_steady_output_gap_bn_core_weak_20260709_163009,hsa_steady,output_gap_bn_core,weak,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.1,2.844050488752511
hsa_steady_output_gap_bn_weak_20260702_071928,hsa_steady,output_gap_bn,weak,unrestricted,quarterly_interpolated,kappa_0=0,inflation points per x point at average Nbar,0.1,0.5,4.146405340234535
hsa_steady_output_gap_bn_weak_20260702_071928,hsa_steady,output_gap_bn,weak,unrestricted,quarterly_interpolated,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.1,1.892995277708903
