run,model,data_spec,prior_spec,constraint_spec,n_transform,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_output_gap_hp_baseline_annual_q4_20260702_132605,ces,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6654820674711137,0.0619697714689097,0.5723455728827367,0.7845971176270286,1.0,0.0
ces_output_gap_hp_baseline_annual_q4_20260702_132605,ces,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.1408956222046434,0.05095558658098409,0.06888334446616688,0.25491890431170605,1.0,0.0
hsa_dynamic_output_gap_hp_baseline_annual_q4_20260702_132608,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6563510263228773,0.05749052613407341,0.5448874910602552,0.767104240914348,1.0,0.0
hsa_dynamic_output_gap_hp_baseline_annual_q4_20260702_132608,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa,inflation points per x point,0.129197634406257,0.04941669146287409,0.03602268805318399,0.21522300533100927,1.0,0.0
hsa_dynamic_output_gap_hp_baseline_annual_q4_20260702_132608,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.09154977581685961,0.12090949002667509,-0.3147116631439756,0.13593164769785648,0.15,0.85
hsa_dynamic_output_gap_hp_baseline_annual_q4_20260702_132608,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.9052086734134953,0.12433195937338407,0.6814072902957753,1.1635121084499396,1.0,0.0
hsa_dynamic_output_gap_hp_baseline_annual_q4_20260702_132608,hsa_dynamic,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,0.026198244087014756,0.10851245182508061,-0.18924091747846136,0.20165718972290453,0.55,0.45
hsa_full_output_gap_hp_baseline_annual_q4_20260702_132612,hsa_full,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.6590686851970663,0.05826864044115291,0.5601860353529813,0.7620341313171188,1.0,0.0
hsa_full_output_gap_hp_baseline_annual_q4_20260702_132612,hsa_full,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.12995956633416006,0.04079390095016865,0.04770633108214019,0.19686946401958563,1.0,0.0
hsa_full_output_gap_hp_baseline_annual_q4_20260702_132612,hsa_full,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,-0.013976186956618942,0.016042896900834967,-0.04760485827304284,0.00917091816126332,0.2,0.8
hsa_full_output_gap_hp_baseline_annual_q4_20260702_132612,hsa_full,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.0680006583858426,0.17444136789032744,-0.31015125778298275,0.33833962491416986,0.7,0.3
hsa_full_output_gap_hp_baseline_annual_q4_20260702_132612,hsa_full,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,0.002004795817978176,0.019191704365262033,-0.0252678279319456,0.04023787510060201,0.5,0.5
hsa_full_output_gap_hp_baseline_annual_q4_20260702_132612,hsa_full,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.4146473978897779,0.27541572308513296,-0.004134747414959451,0.879202765243845,0.95,0.05
hsa_full_output_gap_hp_baseline_annual_q4_20260702_132612,hsa_full,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.45181349367499435,0.15718264636895377,-0.6747537828999709,-0.1517747044170717,0.0,1.0
hsa_steady_output_gap_hp_baseline_annual_q4_20260702_132606,hsa_steady,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.68851523806433,0.0545295866097079,0.5927838132716995,0.7727918307406393,1.0,0.0
hsa_steady_output_gap_hp_baseline_annual_q4_20260702_132606,hsa_steady,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.1309020396317862,0.037620804245147736,0.06074133286094644,0.19054380676991198,1.0,0.0
hsa_steady_output_gap_hp_baseline_annual_q4_20260702_132606,hsa_steady,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,-0.008937870452266416,0.01908297152769206,-0.040980484067870596,0.02007358723288461,0.3,0.7
hsa_steady_output_gap_hp_baseline_annual_q4_20260702_132606,hsa_steady,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.43598787110722215,0.18885684821471022,0.23743971738668412,0.8886563991231563,1.0,0.0
hsa_steady_output_gap_hp_baseline_annual_q4_20260702_132606,hsa_steady,output_gap_hp,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.5309333891594034,0.29142117600464285,-0.866145744124275,-0.1335409510723392,0.0,1.0
