data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,posterior_mean,ci_2.5,ci_97.5
unemployment_gap,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6468823811112844,0.5417355443043578,0.7490101510706159
unemployment_gap,ces,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa,0.0560338158491276,-0.0073853066024711,0.1192748917382865
unemployment_gap,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6401323117738358,0.5393163631498151,0.74001538691914
unemployment_gap,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa_0,0.0897236909719725,0.0108095215353887,0.17590271096232
unemployment_gap,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,delta,0.0290704563503883,0.0012634038106581,0.0562020981062289
unemployment_gap,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6005577203877154,0.4835767522826695,0.7129287957141253
unemployment_gap,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa,0.0758935717723847,-0.02238800219087,0.1869552797868722
unemployment_gap,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,theta,0.1742908438762958,-0.3031335509741859,0.6026131199599222
unemployment_gap,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.5858283046658744,0.4682738957739393,0.6983049974940589
unemployment_gap,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa_0,0.0970511569397592,0.0078138325368015,0.1905000225954126
unemployment_gap,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,delta,0.00780620328421,-0.0324303224016318,0.047606627188531
unemployment_gap,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,theta_0,0.2787343966347171,-0.0675543806023244,0.5703075701330699
unemployment_gap,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,gamma,-0.0025400549349974,-0.0419540581153324,0.0379751535689421
