run,model,data_spec,prior_spec,constraint_spec,n_transform,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_unemployment_gap_baseline_20260622_165229,ces,unemployment_gap,baseline,unrestricted,log100,1982-03-31,2012-12-31,alpha,share,0.6470144997251773,0.052441627022979796,0.5434404882126659,0.7494261132162964,1.0,0.0
ces_unemployment_gap_baseline_20260622_165229,ces,unemployment_gap,baseline,unrestricted,log100,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05560944809156388,0.032251859159788655,-0.0075453006734305566,0.11996745083885063,0.9584375,0.0415625
hsa_dynamic_unemployment_gap_baseline_20260622_165556,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100,1982-03-31,2012-12-31,alpha,share,0.603341684036145,0.052847777427738364,0.5006550815005557,0.7050332377929797,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_20260622_165556,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100,1982-03-31,2012-12-31,kappa,inflation points per x point,0.08983961851611186,0.03559440719168658,0.02191929046836834,0.15891967992730932,0.9934375,0.0065625
hsa_dynamic_unemployment_gap_baseline_20260622_165556,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.010754056383174821,0.0038761212148878724,0.003129400094195981,0.01842509742785726,0.9965625,0.0034375
hsa_dynamic_unemployment_gap_baseline_20260622_165556,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.8774624853253539,0.039476315020938076,1.7962258037170027,1.9511908383193366,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_20260622_165556,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.880660461767281,0.03955891199221728,-0.9548062878162199,-0.7989435425803856,0.0,1.0
hsa_full_unemployment_gap_baseline_20260622_165929,hsa_full,unemployment_gap,baseline,unrestricted,log100,1982-03-31,2012-12-31,alpha,share,0.5990426019197084,0.051001679676740526,0.49965676561851463,0.7002511708109405,1.0,0.0
hsa_full_unemployment_gap_baseline_20260622_165929,hsa_full,unemployment_gap,baseline,unrestricted,log100,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,-0.012055815729982568,0.18631372213720263,-0.3736186031780432,0.3438057430757842,0.4784375,0.5215625
hsa_full_unemployment_gap_baseline_20260622_165929,hsa_full,unemployment_gap,baseline,unrestricted,log100,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.000627502703875787,0.0009370795347613797,-0.001146574779854013,0.0024274702257372797,0.7540625,0.2459375
hsa_full_unemployment_gap_baseline_20260622_165929,hsa_full,unemployment_gap,baseline,unrestricted,log100,1982-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.3669225406887437,0.1217620405619149,0.12169653498473354,0.6017005231877279,0.9984375,0.0015625
hsa_full_unemployment_gap_baseline_20260622_165929,hsa_full,unemployment_gap,baseline,unrestricted,log100,1982-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,-0.001702566163456285,0.0005815626051913261,-0.002840542404515971,-0.0005447696786772774,0.0015625,0.9984375
hsa_full_unemployment_gap_baseline_20260622_165929,hsa_full,unemployment_gap,baseline,unrestricted,log100,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.815925319778865,0.047175674296248735,1.719440626767442,1.9024984514274297,1.0,0.0
hsa_full_unemployment_gap_baseline_20260622_165929,hsa_full,unemployment_gap,baseline,unrestricted,log100,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.8299128181473909,0.04633655830993735,-0.9161348276094627,-0.7351184805006831,0.0,1.0
hsa_steady_unemployment_gap_baseline_20260622_205801,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.64469740620662,0.048628768318942285,0.5463569298424837,0.7213354614050815,1.0,0.0
hsa_steady_unemployment_gap_baseline_20260622_205801,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.08578307066507428,0.04165485027873539,0.012297760738025307,0.1431695906719276,1.0,0.0
hsa_steady_unemployment_gap_baseline_20260622_205801,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.02849516172618959,0.014066625960227229,0.000317850685345677,0.049175466116218376,0.975,0.025
hsa_steady_unemployment_gap_baseline_20260622_205801,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.7637242478878592,0.15056416331675046,0.5135761288971894,1.0050665725636,1.0,0.0
hsa_steady_unemployment_gap_baseline_20260622_205801,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,0.016357661196962157,0.12662055172810374,-0.19115160912392534,0.20117442832551943,0.575,0.425
hsa_steady_unemployment_gap_full_baseline_20260622_205851,hsa_steady,unemployment_gap_full,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,alpha,share,0.64469740620662,0.048628768318942285,0.5463569298424837,0.7213354614050815,1.0,0.0
hsa_steady_unemployment_gap_full_baseline_20260622_205851,hsa_steady,unemployment_gap_full,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.08578307066507428,0.04165485027873539,0.012297760738025307,0.1431695906719276,1.0,0.0
hsa_steady_unemployment_gap_full_baseline_20260622_205851,hsa_steady,unemployment_gap_full,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.02849516172618959,0.014066625960227229,0.000317850685345677,0.049175466116218376,0.975,0.025
hsa_steady_unemployment_gap_full_baseline_20260622_205851,hsa_steady,unemployment_gap_full,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.7637242478878592,0.15056416331675046,0.5135761288971894,1.0050665725636,1.0,0.0
hsa_steady_unemployment_gap_full_baseline_20260622_205851,hsa_steady,unemployment_gap_full,baseline,unrestricted,log100_centered10,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,0.016357661196962157,0.12662055172810374,-0.19115160912392534,0.20117442832551943,0.575,0.425
