run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_unemployment_gap_baseline_restricted_kappa_20260623_000856,ces,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.6443729541538602,0.053081752316785524,0.5404595153020206,0.748572604350477,1.0,0.0
ces_unemployment_gap_baseline_restricted_kappa_20260623_000856,ces,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.0584822924897016,0.02934875462305343,0.007381556651343492,0.12131942027097344,1.0,0.0
ces_unemployment_gap_core_baseline_restricted_kappa_20260709_151600,ces,unemployment_gap_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.7549643522810715,0.04110782232947637,0.6712014212437493,0.832940922913778,1.0,0.0
ces_unemployment_gap_core_baseline_restricted_kappa_20260709_151600,ces,unemployment_gap_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.03986532251462647,0.01632715692461143,0.00818332897686523,0.07208620361343646,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_restricted_kappa_20260623_001225,hsa_dynamic,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.5925175367402106,0.05923012471506685,0.47299391759561016,0.7069596383232317,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_restricted_kappa_20260623_001225,hsa_dynamic,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.0866184128667742,0.04811739805852761,0.00846393487812295,0.18939164263154853,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_restricted_kappa_20260623_001225,hsa_dynamic,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.23395486252461406,0.24147758968581776,-0.2575109945533307,0.6319039300376001,0.798125,0.201875
hsa_dynamic_unemployment_gap_baseline_restricted_kappa_20260623_001225,hsa_dynamic,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.9192519595349604,0.1250640294355758,0.6517245694420147,1.1473457280841637,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_restricted_kappa_20260623_001225,hsa_dynamic,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,0.01380827223360194,0.10457514807102707,-0.19804706919011583,0.22212228834546216,0.5575,0.4425
hsa_dynamic_unemployment_gap_core_baseline_restricted_kappa_20260709_151929,hsa_dynamic,unemployment_gap_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.7593957358850428,0.039749262525893746,0.6805205908783191,0.8368282229115153,1.0,0.0
hsa_dynamic_unemployment_gap_core_baseline_restricted_kappa_20260709_151929,hsa_dynamic,unemployment_gap_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa,inflation points per x point,0.03432785551308064,0.016607543314244768,0.0052817425633491346,0.06831861133495597,1.0,0.0
hsa_dynamic_unemployment_gap_core_baseline_restricted_kappa_20260709_151929,hsa_dynamic,unemployment_gap_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.020579968799704192,0.02829954193198184,-0.07283356054561757,0.036783677629908286,0.2246875,0.7753125
hsa_dynamic_unemployment_gap_core_baseline_restricted_kappa_20260709_151929,hsa_dynamic,unemployment_gap_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,1.7752053569611406,0.054119875106332,1.6621804873680248,1.8740892517289758,1.0,0.0
hsa_dynamic_unemployment_gap_core_baseline_restricted_kappa_20260709_151929,hsa_dynamic,unemployment_gap_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.789466256355878,0.05224876532542408,-0.8858307491163037,-0.6818266744141414,0.0,1.0
hsa_full_unemployment_gap_baseline_restricted_kappa_20260623_001557,hsa_full,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,alpha,share,0.612574584986336,0.06316915005097341,0.4844765000879516,0.7309282335526145,1.0,0.0
hsa_full_unemployment_gap_baseline_restricted_kappa_20260623_001557,hsa_full,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.07655548852776327,0.04734351228293651,-0.011378184522843709,0.17381192196604825,0.9515625,0.0484375
hsa_full_unemployment_gap_baseline_restricted_kappa_20260623_001557,hsa_full,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.018312380744689615,0.02022229662343651,-0.02627132635618266,0.052034101229142704,0.8225,0.1775
hsa_full_unemployment_gap_baseline_restricted_kappa_20260623_001557,hsa_full,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.11979513542604851,0.18908225247521626,-0.20576324825060813,0.4939318388535386,0.7021875,0.2978125
hsa_full_unemployment_gap_baseline_restricted_kappa_20260623_001557,hsa_full,unemployment_gap,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,1982-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,-0.005873539206777412,0.020401083683870835,-0.04433133364781093,0.03460463999953125,0.3865625,0.6134375
