run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,sample_start,sample_end,parameter,unit,posterior_mean,posterior_sd,ci_2.5,ci_97.5,p_gt_0,p_lt_0
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.6470144997251773,0.052441627022979796,0.5434404882126659,0.7494261132162964,1.0,0.0
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05560944809156388,0.032251859159788655,-0.0075453006734305566,0.11996745083885063,0.9584375,0.0415625
ces_unemployment_gap_core_baseline_annual_q4_20260709_145610,ces,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.7546283320836287,0.04013243512620823,0.6753801023835222,0.831566468902704,1.0,0.0
ces_unemployment_gap_core_baseline_annual_q4_20260709_145610,ces,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa,inflation points per x point,0.03938891347082609,0.016384668238768364,0.006705957839002623,0.0721754559831928,0.990625,0.009375
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_200248,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.6452276796607762,0.052070674553799885,0.546171681463213,0.7469212057969724,1.0,0.0
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_200248,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa,inflation points per x point,0.05835914695839402,0.03243480510697096,-0.005593607369908784,0.12186950839860082,0.9653125,0.0346875
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_200248,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,0.04710379005256538,0.12529197514737248,-0.17870254265065438,0.3417242980029703,0.648125,0.351875
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_200248,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.3126344134865168,0.16382673464747666,0.07847682836297905,0.7527525036007592,0.988125,0.011875
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_200248,hsa_dynamic,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.7147970424794897,0.25536787657785204,-0.958177363597309,-0.08706313342717821,0.010625,0.989375
hsa_dynamic_unemployment_gap_core_baseline_annual_q4_20260709_145936,hsa_dynamic,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.7479087538383282,0.040255491211081934,0.6681535341622434,0.8288049507996801,1.0,0.0
hsa_dynamic_unemployment_gap_core_baseline_annual_q4_20260709_145936,hsa_dynamic,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa,inflation points per x point,0.040231839500638585,0.01609949321476751,0.008016494204008134,0.07178225853900515,0.9928125,0.0071875
hsa_dynamic_unemployment_gap_core_baseline_annual_q4_20260709_145936,hsa_dynamic,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,theta,inflation effect per +10 log-point Nhat deviation,-0.022726780555837857,0.10819922244138552,-0.20506638055269852,0.29928546278663476,0.25125,0.74875
hsa_dynamic_unemployment_gap_core_baseline_annual_q4_20260709_145936,hsa_dynamic,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.3013987564393514,0.19816377420499748,0.05854870054994701,0.9242911015618377,0.9859375,0.0140625
hsa_dynamic_unemployment_gap_core_baseline_annual_q4_20260709_145936,hsa_dynamic,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.7288470946617186,0.2680150403867731,-0.9525574843748953,0.007808665779951531,0.0278125,0.9721875
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.6438351495210728,0.05292132335233893,0.5373289420227185,0.7462649413452467,1.0,0.0
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.07977207357707418,0.033832363331802444,0.011643440349331183,0.14664441608623138,0.988125,0.011875
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.029272948075638697,0.012896996309262181,0.004145173822093753,0.05483327260944971,0.98625,0.01375
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.02639530214416512,0.0929879842076625,-0.15577280199491758,0.2172575863098115,0.6078125,0.3921875
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,-0.0017497221234737492,0.019056644982635096,-0.03971906748234746,0.0359827286665991,0.46375,0.53625
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.2682320720844507,0.0827804011310473,0.08117725467949786,0.37970507186652586,0.9959375,0.0040625
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.8796161858406958,0.053628930584036755,-0.9639228471739127,-0.7639388809208415,0.0,1.0
hsa_full_unemployment_gap_core_baseline_annual_q4_20260709_150310,hsa_full,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.7840594142523707,0.04136791922558062,0.7026676886846919,0.8650325263588792,1.0,0.0
hsa_full_unemployment_gap_core_baseline_annual_q4_20260709_150310,hsa_full,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.058615138260803154,0.017350176247199797,0.02501502153802486,0.09462420874066492,1.0,0.0
hsa_full_unemployment_gap_core_baseline_annual_q4_20260709_150310,hsa_full,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.022548151831261052,0.007310436469781894,0.008188890122332175,0.037553959770139055,0.99875,0.00125
hsa_full_unemployment_gap_core_baseline_annual_q4_20260709_150310,hsa_full,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,theta_0,inflation effect per +10 log-point Nhat deviation at average Nbar,-0.027994558901107185,0.05443218607950102,-0.1339204400884535,0.07861538499411964,0.299375,0.700625
hsa_full_unemployment_gap_core_baseline_annual_q4_20260709_150310,hsa_full,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,gamma,change in theta_t per +10 log-point Nbar deviation,-0.006196033911928209,0.018483038467459485,-0.04235544977642983,0.030532359834898742,0.3759375,0.6240625
hsa_full_unemployment_gap_core_baseline_annual_q4_20260709_150310,hsa_full,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.22190242704760643,0.07818116470723392,0.06830900988651156,0.35056134498151525,0.99875,0.00125
hsa_full_unemployment_gap_core_baseline_annual_q4_20260709_150310,hsa_full,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.8620811148235015,0.049642896855585275,-0.9474001251767766,-0.7593991573104201,0.0,1.0
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_195929,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.6410606109766593,0.0506157566313963,0.5397691841036856,0.7390785034816577,1.0,0.0
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_195929,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.07743209533657283,0.033753917615239215,0.011694985289112619,0.14537852920555971,0.9921875,0.0078125
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_195929,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.02937236649581176,0.012310958150936087,0.004888877415329677,0.05308924353462345,0.9875,0.0125
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_195929,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.22764874494871115,0.11084592680483513,-0.08132239183943586,0.3868633395838403,0.9634375,0.0365625
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_195929,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.863533856044821,0.08520124383536049,-0.9637639018686617,-0.6370313793537924,0.0,1.0
hsa_steady_unemployment_gap_core_baseline_annual_q4_20260709_145612,hsa_steady,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,alpha,share,0.792792444935805,0.04057874157438257,0.7129054668747746,0.8736071479820232,1.0,0.0
hsa_steady_unemployment_gap_core_baseline_annual_q4_20260709_145612,hsa_steady,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,kappa_0,inflation points per x point at average Nbar,0.055359580948807705,0.018292655837191665,0.0213607700436868,0.09158150722546024,0.99875,0.00125
hsa_steady_unemployment_gap_core_baseline_annual_q4_20260709_145612,hsa_steady,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,delta,change in kappa_t per +10 log-point Nbar deviation,0.022354043879297524,0.007709812432127396,0.007780649675346993,0.03834370669572487,0.9971875,0.0028125
hsa_steady_unemployment_gap_core_baseline_annual_q4_20260709_145612,hsa_steady,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_1,AR(2) coefficient,0.19569709516305245,0.09853450492615369,-0.06303455867242792,0.3549759257917965,0.97,0.03
hsa_steady_unemployment_gap_core_baseline_annual_q4_20260709_145612,hsa_steady,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,1982-03-31,2012-12-31,rho_2,AR(2) coefficient,-0.8825940515463401,0.06133886210554488,-0.9719339103564995,-0.7642324778458337,0.0003125,0.9996875
