run,model,data_spec,prior_spec,constraint_spec,competition_measurement_frequency,restriction,unit,prior_mean,prior_sd,sddr_bf01
ces_unemployment_gap_baseline_annual_q4_20260702_195928,ces,unemployment_gap,baseline,unrestricted,annual_q4,kappa=0,inflation points per x point,0.1,0.2,1.6328522679226485
ces_unemployment_gap_core_baseline_annual_q4_20260709_145610,ces,unemployment_gap_core,baseline,unrestricted,annual_q4,kappa=0,inflation points per x point,0.1,0.2,0.9018653674490784
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_200248,hsa_dynamic,unemployment_gap,baseline,unrestricted,annual_q4,kappa=0,inflation points per x point,0.1,0.2,1.3776331198890648
hsa_dynamic_unemployment_gap_baseline_annual_q4_20260702_200248,hsa_dynamic,unemployment_gap,baseline,unrestricted,annual_q4,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,2.1187197061546357
hsa_dynamic_unemployment_gap_core_baseline_annual_q4_20260709_145936,hsa_dynamic,unemployment_gap_core,baseline,unrestricted,annual_q4,kappa=0,inflation points per x point,0.1,0.2,0.6977690914218981
hsa_dynamic_unemployment_gap_core_baseline_annual_q4_20260709_145936,hsa_dynamic,unemployment_gap_core,baseline,unrestricted,annual_q4,theta=0,inflation effect per +10 log-point Nhat deviation,0.1,0.2,2.7017139222319653
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,baseline,unrestricted,annual_q4,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.4863946215084222
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,baseline,unrestricted,annual_q4,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.12227972224557399
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,baseline,unrestricted,annual_q4,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,2.2958514981282634
hsa_full_unemployment_gap_baseline_annual_q4_20260702_200618,hsa_full,unemployment_gap,baseline,unrestricted,annual_q4,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,1.0760512034473793
hsa_full_unemployment_gap_core_baseline_annual_q4_20260709_150310,hsa_full,unemployment_gap_core,baseline,unrestricted,annual_q4,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.03135936854532343
hsa_full_unemployment_gap_core_baseline_annual_q4_20260709_150310,hsa_full,unemployment_gap_core,baseline,unrestricted,annual_q4,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.020232330405361404
hsa_full_unemployment_gap_core_baseline_annual_q4_20260709_150310,hsa_full,unemployment_gap_core,baseline,unrestricted,annual_q4,theta_0=0,inflation effect per +10 log-point Nhat deviation at average Nbar,0.1,0.2,3.6423164798623624
hsa_full_unemployment_gap_core_baseline_annual_q4_20260709_150310,hsa_full,unemployment_gap_core,baseline,unrestricted,annual_q4,gamma=0,change in theta_t per +10 log-point Nbar deviation,0.0,0.02,1.0561815823942782
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_195929,hsa_steady,unemployment_gap,baseline,unrestricted,annual_q4,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.5578602295203389
hsa_steady_unemployment_gap_baseline_annual_q4_20260702_195929,hsa_steady,unemployment_gap,baseline,unrestricted,annual_q4,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.08495844233630107
hsa_steady_unemployment_gap_core_baseline_annual_q4_20260709_145612,hsa_steady,unemployment_gap_core,baseline,unrestricted,annual_q4,kappa_0=0,inflation points per x point at average Nbar,0.1,0.2,0.1079648600075412
hsa_steady_unemployment_gap_core_baseline_annual_q4_20260709_145612,hsa_steady,unemployment_gap_core,baseline,unrestricted,annual_q4,delta=0,change in kappa_t per +10 log-point Nbar deviation,0.0,0.02,0.05967419906364178
